"Subject","Age","Gender","Handness","moralSelfShape","immoralSelfShape","moralOtherShape","immoralOtherShape","Block","Bin","Trial","Task","shapeName","Identity","Morality","RT","ResponseKey","ACC","trialType"
7003,19,"male","R","Tra","C","S","P",1,1,1,"Val","C","Self","Bad",0.8984,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,1,2,"Val","P","Other","Bad",0.7786,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,1,3,"Val","C","Self","Bad",0.7547,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,1,5,"Val","P","Other","Bad",0.8049,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,1,6,"Val","P","Other","Bad",0.6171,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,1,8,"Val","P","Other","Bad",0.6274,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,1,9,"Val","P","Other","Bad",0.7455,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,1,10,"Val","P","Other","Bad",0.5677,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,1,12,"Val","C","Self","Bad",0.8858,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,1,13,"Val","C","Self","Bad",0.648,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,1,14,"Val","C","Self","Bad",0.5961,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,1,15,"Val","S","Other","Good",0.4482,"Y",1,"moral"
7003,19,"male","R","Tra","C","S","P",1,1,16,"Val","Tra","Self","Good",0.5244,"Y",1,"moral"
7003,19,"male","R","Tra","C","S","P",1,1,17,"Val","Tra","Self","Good",0.4786,"Y",1,"moral"
7003,19,"male","R","Tra","C","S","P",1,1,18,"Val","S","Other","Good",0.4746,"Y",1,"moral"
7003,19,"male","R","Tra","C","S","P",1,1,19,"Val","C","Self","Bad",0.6167,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,1,20,"Val","S","Other","Good",0.7789,"Y",1,"moral"
7003,19,"male","R","Tra","C","S","P",1,1,21,"Val","S","Other","Good",0.3912,"Y",1,"moral"
7003,19,"male","R","Tra","C","S","P",1,1,22,"Val","Tra","Self","Good",0.5692,"Y",1,"moral"
7003,19,"male","R","Tra","C","S","P",1,1,23,"Val","Tra","Self","Good",0.4352,"Y",1,"moral"
7003,19,"male","R","Tra","C","S","P",1,1,24,"Val","S","Other","Good",0.4654,"Y",1,"moral"
7003,19,"male","R","Tra","C","S","P",1,2,1,"Val","P","Other","Bad",0.5216,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,2,2,"Val","P","Other","Bad",0.5596,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,2,3,"Val","S","Other","Good",0.6378,"Y",1,"moral"
7003,19,"male","R","Tra","C","S","P",1,2,4,"Val","Tra","Self","Good",0.7139,"Y",1,"moral"
7003,19,"male","R","Tra","C","S","P",1,2,5,"Val","S","Other","Good",0.5021,"Y",1,"moral"
7003,19,"male","R","Tra","C","S","P",1,2,6,"Val","P","Other","Bad",0.6903,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,2,7,"Val","S","Other","Good",0.5142,"Y",1,"moral"
7003,19,"male","R","Tra","C","S","P",1,2,8,"Val","Tra","Self","Good",0.4404,"Y",1,"moral"
7003,19,"male","R","Tra","C","S","P",1,2,9,"Val","Tra","Self","Good",0.5666,"Y",1,"moral"
7003,19,"male","R","Tra","C","S","P",1,2,10,"Val","Tra","Self","Good",0.5987,"Y",1,"moral"
7003,19,"male","R","Tra","C","S","P",1,2,11,"Val","C","Self","Bad",0.4209,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,2,12,"Val","P","Other","Bad",0.495,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,2,13,"Val","C","Self","Bad",0.3851,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,2,14,"Val","C","Self","Bad",0.3713,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,2,15,"Val","Tra","Self","Good",0.4213,"Y",1,"moral"
7003,19,"male","R","Tra","C","S","P",1,2,16,"Val","S","Other","Good",0.3736,"Y",1,"moral"
7003,19,"male","R","Tra","C","S","P",1,2,18,"Val","C","Self","Bad",0.4817,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,2,19,"Val","P","Other","Bad",0.9278,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,2,20,"Val","S","Other","Good",0.5621,"Y",1,"moral"
7003,19,"male","R","Tra","C","S","P",1,2,21,"Val","C","Self","Bad",0.8361,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,2,23,"Val","S","Other","Good",0.3884,"Y",1,"moral"
7003,19,"male","R","Tra","C","S","P",1,2,24,"Val","P","Other","Bad",0.6286,"U",1,"immoral"
7003,19,"male","R","Tra","C","S","P",1,3,1,"Val","S","Other","Good",0.5306,"Y",1,"moral"
