"trialNum","subId","Task","Identity","Morality","Pmu","Psigma","Ptau","AIC","BIC"
71,7003,"Val","Self","Bad",0.454917616075458,0.0593060555102686,0.13633376523792,-78.0468102233711,-71.2587705922472
68,7003,"Val","Self","Good",0.487851134852542,0.0542130865707793,0.0786034999829941,-122.993240723722,-116.334717608194
71,7003,"Val","Other","Bad",0.466082105388516,0.0550112110571444,0.129729182295267,-97.7698780297512,-90.9818383986273
70,7003,"Val","Other","Good",0.451585799394892,0.0603801418733134,0.08352454348692,-120.412561492977,-113.667075766829
69,7003,"Id","Self","Bad",0.501085488432045,0.102086084807863,0.0630778489691674,-93.991688964291,-87.2893694504992
72,7003,"Id","Self","Good",0.497813286488448,0.0443370255111269,0.0987109025241765,-128.473252212182,-121.643253855134
68,7003,"Id","Other","Bad",0.523455529670616,0.0634079212415871,0.108772772349406,-97.7120338250433,-91.053510709515
69,7003,"Id","Other","Good",0.535135885945922,0.0953940448597104,0.0763965899995037,-83.6619360836154,-76.9596165698236
64,7004,"Val","Self","Bad",0.270799999624551,0.00971829314088691,0.208818613743659,-63.6226697009453,-57.1460204508662
72,7004,"Val","Self","Good",0.420782794626409,0.0646389479797216,0.0818414937324036,-124.217068004129,-117.38706964708
72,7004,"Val","Other","Bad",0.364267023599314,0.0582148289226912,0.113232595646067,-98.8513277646367,-92.0213294075886
56,7004,"Val","Other","Good",0.396576231665332,0.0565086227681224,0.153260640237959,-60.4495278086264,-54.3734727364209
57,7004,"Id","Self","Bad",0.422326323474884,0.0613841857295847,0.104760366416187,-80.4251721421417,-74.296018338638
60,7004,"Id","Self","Good",0.371474867997288,0.0584501784857824,0.129954745629964,-76.2481397911786,-69.9651061045123
69,7004,"Id","Other","Bad",0.409104616544361,0.0594569071121086,0.112300373984058,-95.4988321551341,-88.7965126413423
66,7004,"Id","Other","Good",0.409418192731651,0.0734937602662568,0.144373399026149,-61.3454090690707,-54.7764448429914
71,7005,"Val","Self","Bad",0.472605101831668,0.0539671763450884,0.0704742185054515,-136.532059575681,-129.744019944557
72,7005,"Val","Self","Good",0.386594319459232,0.0456303997469574,0.0660955718910082,-160.254943740535,-153.424945383487
67,7005,"Val","Other","Bad",0.443374102989924,0.0617423718244466,0.0760389212119487,-121.522111244793,-114.90803338662
69,7005,"Val","Other","Good",0.448449766441254,0.0656421059056223,0.0537460623278836,-135.256177043758,-128.553857529966
67,7005,"Id","Self","Bad",0.448296914816736,0.0840656964432345,0.0843600791247393,-96.4616430575443,-89.8475651993714
72,7005,"Id","Self","Good",0.438455741777846,0.0433048295389728,0.0539092641924699,-177.772844181894,-170.942845824846
64,7005,"Id","Other","Bad",0.421873661594352,0.0653860778622272,0.0620978493269938,-123.902596702581,-117.425947452502
72,7005,"Id","Other","Good",0.378554145244519,0.0540978468651196,0.0873455507932135,-133.66584158642,-126.835843229371
72,7006,"Val","Self","Bad",0.387914622891915,0.0450618902152134,0.0460429531408899,-184.837434342848,-178.0074359858
68,7006,"Val","Self","Good",0.376908597068268,0.024631228649477,0.0844617685065852,-157.781265444276,-151.122742328748
66,7006,"Val","Other","Bad",0.395343907608914,0.0518192383732085,0.0793428386779843,-126.913508036761,-120.344543810681
71,7006,"Val","Other","Good",0.356797656210532,0.0327854263512096,0.09321767035548,-146.979168932201,-140.191129301077
66,7006,"Id","Self","Bad",0.368546281316421,0.0169858955645334,0.173094341100724,-82.3848141729263,-75.815849946847
63,7006,"Id","Self","Good",0.386306461149788,0.0116381632085714,0.16118780819337,-85.5416609270995,-79.1122567479249
64,7006,"Id","Other","Bad",0.473825701097499,0.0943083123848675,0.100126584130903,-71.1600875640766,-64.6834383139976
68,7006,"Id","Other","Good",0.399951477744437,0.0595244566746703,0.0745603003360858,-129.573300012009,-122.914776896481
69,7007,"Val","Self","Bad",0.499611453911037,0.0616948799010615,0.0928858468102258,-107.103668519295,-100.401349005503
70,7007,"Val","Self","Good",0.463645731561745,0.0606478649541197,0.048681003858726,-149.327227779332,-142.581742053184
72,7007,"Val","Other","Bad",0.457421661053004,0.0495291404469298,0.0503294706006361,-179.278404973451,-172.448406616403
70,7007,"Val","Other","Good",0.451710882058644,0.0519922168755909,0.0693071092476947,-144.879765263503,-138.134279537355
69,7007,"Id","Self","Bad",0.437589176922222,0.0645137686039165,0.0660766051912612,-133.104285547746,-126.401966033954
69,7007,"Id","Self","Good",0.439641027204533,0.0723514976506797,0.0609712168068026,-124.710350628108,-118.008031114317
71,7007,"Id","Other","Bad",0.510990837189043,0.0755500972330395,0.00841980125859261,-156.775260370797,-149.987220739673
70,7007,"Id","Other","Good",0.493187957615093,0.0914113628146776,0.0543080421604565,-101.841538749181,-95.096053023033
64,7008,"Val","Self","Bad",0.46392571457509,0.0636200057828725,0.0729479457032112,-119.637548635695,-113.160899385616
64,7008,"Val","Self","Good",0.363416304709971,0.0488061813450049,0.105997851722264,-99.1807680267677,-92.7041187766886
67,7008,"Val","Other","Bad",0.379892316065999,0.0231855831013385,0.135943344390632,-103.5624956561,-96.9484177979274
63,7008,"Val","Other","Good",0.401760432810185,0.0484093307400444,0.108766420463938,-97.9025676661606,-91.473163486986
56,7008,"Id","Self","Bad",0.337992155899118,0.0479476636404903,0.0853793511320387,-104.749885231551,-98.6738301593453
51,7008,"Id","Self","Good",0.331862722628808,0.0595089838148432,0.0775162139213369,-95.2458230435759,-89.4503461454029
53,7008,"Id","Other","Bad",0.357201847387195,0.0649457409989529,0.0809844482844598,-82.5910894891015,-76.6802137484452
50,7008,"Id","Other","Good",0.379263114919962,0.067990904451497,0.0699345151415777,-98.2623315567042,-92.5262625404198
65,7009,"Val","Self","Bad",0.477375476567188,0.100155329598201,0.110470719194726,-74.5323098346332,-68.0091480249463
70,7009,"Val","Self","Good",0.441045594877274,0.0881402731551879,0.105201204168523,-75.0505012199484,-68.3050154938004
65,7009,"Val","Other","Bad",0.455073342992092,0.0862402060370669,0.0823945644738206,-96.4012236457433,-89.8780618360564
63,7009,"Val","Other","Good",0.469021778157999,0.0937268171620706,0.116782727687883,-58.5580866450079,-52.1286824658333
59,7009,"Id","Self","Bad",0.528845084153688,0.0991243111700165,0.155320932967054,-34.5642160333936,-28.3316037016765
56,7009,"Id","Self","Good",0.529538161647826,0.112249626526686,0.0809775710785903,-59.2855405807908,-53.2094855085853
60,7009,"Id","Other","Bad",0.471894208428432,0.127850023668954,0.0954987150464128,-43.7351389844134,-37.4521052977471
57,7009,"Id","Other","Good",0.592387765967598,0.186375352173505,0.04330278057751,-21.3726597470499,-15.2435059435463
71,7010,"Val","Self","Bad",0.398595466251196,0.0478150328196144,0.0599036621224857,-161.269923372799,-154.481883741675
70,7010,"Val","Self","Good",0.431573436391346,0.0634671829607341,0.0754041429477961,-124.560756013954,-117.815270287806
68,7010,"Val","Other","Bad",0.414674027930476,0.0767726875352551,0.0717073069686856,-113.392666255542,-106.734143140014
72,7010,"Val","Other","Good",0.393102721470875,0.0453302444995424,0.0467847345482721,-179.552797675982,-172.722799318934
72,7010,"Id","Self","Bad",0.353458771020239,0.0304704519698244,0.0531504558660891,-210.433427810483,-203.603429453435
70,7010,"Id","Self","Good",0.355043476452852,0.0282620961396489,0.0845110600474628,-162.658912703876,-155.913426977728
70,7010,"Id","Other","Bad",0.340547021420388,0.0288439419086346,0.0825420769735839,-162.722366712734,-155.976880986586
71,7010,"Id","Other","Good",0.354728393311116,0.0258064861090779,0.0591770802908059,-201.311844539968,-194.523804908844
65,7011,"Val","Self","Bad",0.436392905144409,0.053871632344274,0.104613571528019,-100.472254837231,-93.9490930275441
69,7011,"Val","Self","Good",0.443545762449352,0.0530491047170182,0.0875182322208781,-130.41261014024,-123.710290626449
68,7011,"Val","Other","Bad",0.454518247991255,0.0429156521364569,0.0790841360957943,-135.630305824104,-128.971782708575
66,7011,"Val","Other","Good",0.416411316542277,0.0501236861821209,0.0966955698947286,-114.454938780169,-107.88597455409
69,7011,"Id","Self","Bad",0.366056785333472,0.0401497029376985,0.0845301575728094,-142.176705669515,-135.474386155723
68,7011,"Id","Self","Good",0.430991106723257,0.0709378408882098,0.0457827707460186,-144.488085361003,-137.829562245475
68,7011,"Id","Other","Bad",0.434814304254094,0.0403170934116714,0.072691747178673,-155.121141973975,-148.462618858447
69,7011,"Id","Other","Good",0.441351292082207,0.0495207947908841,0.135780918252446,-89.2506826309662,-82.5483631171744
49,7012,"Val","Self","Bad",0.32153522352878,0.0349332426832949,0.143486021411921,-62.8215672149828,-57.146106320651
51,7012,"Val","Self","Good",0.365016869986144,0.0601994817295577,0.123325435544962,-59.9518543353782,-54.1563774372052
52,7012,"Val","Other","Bad",0.372785298975798,0.0726578380240737,0.107713766208016,-67.0397370314462,-61.1860058757019
51,7012,"Val","Other","Good",0.425143049779523,0.0852619084762608,0.0932196225595908,-67.5173783997489,-61.721901501576
59,7012,"Id","Self","Bad",0.407475143704887,0.0949205732985001,0.116808044246816,-57.3577201570886,-51.1251078253714
69,7012,"Id","Self","Good",0.422192598279106,0.0945350995081015,0.0323778320177972,-115.905433866622,-109.20311435283
63,7012,"Id","Other","Bad",0.422820899444371,0.0763414782512905,0.0673975535263119,-104.262452013672,-97.8330478344976
62,7012,"Id","Other","Good",0.443853567453169,0.0887326145830895,0.0740233204446528,-88.9628633613272,-82.5814602061919
71,7013,"Val","Self","Bad",0.441282961121871,0.0682078700579072,0.0771608005238682,-119.888973812637,-113.100934181513
72,7013,"Val","Self","Good",0.324016640234399,0.0279029878865639,0.106528497485265,-139.570292775719,-132.740294418671
71,7013,"Val","Other","Bad",0.385582268096614,0.0238629543411613,0.11958705378865,-126.157364361541,-119.369324730417
68,7013,"Val","Other","Good",0.450390877282263,0.0891178992667792,0.0167071185008343,-129.175728320436,-122.517205204908
69,7013,"Id","Self","Bad",0.480708866075277,0.0832816530511887,0.0816653117756482,-88.0479639724657,-81.3456444586739
71,7013,"Id","Self","Good",0.462728719581948,0.108863975361685,0.0136290964766549,-105.515672140245,-98.7276325091213
68,7013,"Id","Other","Bad",0.455463982635079,0.0949559332235465,0.0930812556169758,-76.6527539465939,-69.9942308310656
69,7013,"Id","Other","Good",0.503978767350076,0.110781829931437,0.0197710597638479,-99.8261665100889,-93.1238469962972
55,7015,"Val","Self","Bad",0.487759153129631,0.103360143387689,0.0734001177561219,-67.584555402105,-61.5625558464076
67,7015,"Val","Self","Good",0.428752254715106,0.0634917524705395,0.0793694056306729,-118.49222774004,-111.878149881867
69,7015,"Val","Other","Bad",0.480737845970213,0.0674585054201168,0.0375755358957874,-148.208679504788,-141.506359990996
66,7015,"Val","Other","Good",0.404658546515562,0.0399691673567994,0.12147249326846,-95.9565271746123,-89.387562948533
67,7015,"Id","Self","Bad",0.424605219877339,0.0516034490034755,0.0673302040884317,-138.948505708633,-132.33442785046
67,7015,"Id","Self","Good",0.444097732584922,0.0634660534589346,0.0693229724497141,-125.299004789904,-118.684926931731
68,7015,"Id","Other","Bad",0.453992214621711,0.076757379046449,0.0725619797681113,-109.953555472125,-103.295032356597
64,7015,"Id","Other","Good",0.423825232707556,0.0620723999364831,0.113059009279456,-89.2265560761805,-82.7499068261015
61,7016,"Val","Self","Bad",0.472521527828726,0.0735374572576303,0.141400034081122,-60.2761393621036,-53.9435177695837
72,7016,"Val","Self","Good",0.446798881283532,0.0350334362120027,0.0824704818867078,-155.081319017921,-148.251320660873
71,7016,"Val","Other","Bad",0.466881198749104,0.0328500751554815,0.0651919590534671,-179.617510009151,-172.829470378027
68,7016,"Val","Other","Good",0.559320992248382,0.0851879324996394,0.0886164132844856,-82.7436168937483,-76.08509377822
67,7016,"Id","Self","Bad",0.43477499995968,0.061795655765822,0.119570907329286,-93.4865940185014,-86.8725161603285
70,7016,"Id","Self","Good",0.392765149641373,0.0438777080109619,0.0757057651443434,-151.319405742181,-144.573920016033
71,7016,"Id","Other","Bad",0.434177392923174,0.0284304990315084,0.0859214599325856,-160.428953279549,-153.640913648425
58,7016,"Id","Other","Good",0.459773953625665,0.0541250927677757,0.177257284986221,-46.5471487516681,-40.3658197200288
72,7018,"Val","Self","Bad",0.44700574262235,0.0427170525429143,0.0493399803504809,-186.203034108478,-179.373035751429
72,7018,"Val","Self","Good",0.439189316085208,0.0502612888650206,0.0539050151769197,-173.281194416211,-166.451196059163
72,7018,"Val","Other","Bad",0.459706467643146,0.0461858621984961,0.0586651419486849,-161.896665924962,-155.066667567914
72,7018,"Val","Other","Good",0.381444353178615,0.0283971671925051,0.0457107670142535,-221.932657786667,-215.102659429618
72,7018,"Id","Self","Bad",0.427756108075911,0.0571948362497465,0.070242024108915,-139.534968681464,-132.704970324416
72,7018,"Id","Self","Good",0.432380840721057,0.0525024846400845,0.0860868670786206,-129.545668218024,-122.715669860976
72,7018,"Id","Other","Bad",0.450898340070123,0.0793660580648024,0.124273107780833,-81.8640945236307,-75.0340961665825
72,7018,"Id","Other","Good",0.405455307103348,0.0512524239954052,0.0845612223810758,-137.26058605712,-130.430587700071
65,7019,"Val","Self","Bad",0.505900556676897,0.087511449455729,0.076486441057237,-101.858905009104,-95.3357431994174
65,7019,"Val","Self","Good",0.456137613599848,0.0947813559391317,0.127264638966171,-52.0507421698071,-45.5275803601202
63,7019,"Val","Other","Bad",0.564030286521268,0.101889254922991,0.016932584761816,-88.9540587347316,-82.524654555557
61,7019,"Val","Other","Good",0.412592896233011,0.0823991844057943,0.13882833378743,-53.6489169357817,-47.3162953432618
66,7019,"Id","Self","Bad",0.449816002116349,0.0905141828551349,0.137452352402891,-54.7264275879445,-48.1574633618653
69,7019,"Id","Self","Good",0.443475289934511,0.0612091872792459,0.120225392105968,-90.2954548890999,-83.5931353753082
66,7019,"Id","Other","Bad",0.449059070820204,0.070490059880956,0.118750352779453,-77.7247008008287,-71.1557365747495
64,7019,"Id","Other","Good",0.480297678143933,0.122584332784354,0.134065210141322,-33.194823448987,-26.718174198908
