"subj_idx","val","id","rt","response"
7003,"Good","Self",0.7672,1
7003,"Bad","Self",0.5315,1
7003,"Good","Other",0.7946,1
7003,"Good","Self",0.999,0
7003,"Bad","Self",0.8892,0
7003,"Good","Other",0.6434,1
7003,"Bad","Self",0.7356,1
7003,"Bad","Other",0.7123,0
7003,"Good","Other",0.7966,0
7003,"Bad","Other",0.7848,1
7003,"Bad","Self",0.8511,0
7003,"Good","Other",0.6932,0
7003,"Good","Self",0.9674,1
7003,"Good","Self",0.7659,1
7003,"Good","Other",0.6742,1
7003,"Bad","Other",0.7644,1
7003,"Bad","Self",0.6465,0
7003,"Bad","Self",0.7111,1
7003,"Good","Other",0.7176,1
7003,"Good","Self",0.73,1
7003,"Bad","Other",0.9786,1
7003,"Good","Other",0.8149,1
7003,"Good","Other",0.8054,0
7003,"Bad","Other",0.7117,0
7003,"Bad","Other",0.6781,1
7003,"Bad","Other",0.8802,0
7003,"Good","Self",0.9384,1
7003,"Good","Self",0.6366,1
7003,"Bad","Self",0.499,0
7003,"Bad","Self",0.5173,1
7003,"Good","Other",0.9274,1
7003,"Bad","Self",0.7018,0
7003,"Good","Self",0.8182,0
7003,"Good","Other",0.7283,0
7003,"Bad","Other",0.6708,0
7003,"Bad","Other",0.9333,1
7003,"Good","Other",0.8656,1
7003,"Bad","Self",0.7958,1
7003,"Good","Other",0.7069,1
7003,"Good","Self",0.6131,0
7003,"Bad","Self",0.7273,1
7003,"Bad","Self",0.8493,0
7003,"Good","Self",0.6436,1
7003,"Bad","Other",0.9577,1
7003,"Good","Self",0.8159,1
7003,"Bad","Self",0.8544,0
7003,"Good","Other",0.8885,1
7003,"Bad","Other",0.7648,1
7003,"Bad","Self",0.6971,1
7003,"Good","Self",0.7741,1
7003,"Good","Self",0.6883,0
7003,"Good","Other",0.6308,1
7003,"Good","Self",0.777,1
7003,"Good","Other",0.6635,1
7003,"Bad","Other",0.8816,0
7003,"Bad","Self",0.6757,1
7003,"Bad","Other",0.646,1
7003,"Good","Self",0.7948,0
7003,"Good","Other",0.6472,0
7003,"Good","Other",0.7532,1
7003,"Good","Self",0.5975,1
7003,"Good","Other",0.6958,1
7003,"Bad","Self",0.532,0
7003,"Good","Self",0.5786,1
7003,"Bad","Other",0.5487,0
7003,"Bad","Self",0.8011,0
7003,"Bad","Other",0.9333,1
7003,"Bad","Self",0.7914,1
7003,"Bad","Other",0.6017,0
7003,"Bad","Other",0.8561,0
7003,"Bad","Self",0.6983,1
7003,"Good","Self",0.7004,0
7003,"Bad","Self",0.6008,1
7003,"Good","Other",0.7709,1
7003,"Bad","Self",0.6872,1
7003,"Bad","Other",0.8655,0
7003,"Good","Other",0.6442,1
7003,"Good","Self",0.631,1
7003,"Bad","Other",0.6593,1
7003,"Good","Other",0.7255,1
7003,"Good","Self",0.7357,0
7003,"Bad","Self",0.58,1
7003,"Good","Self",0.5865,1
7003,"Good","Other",0.4148,1
7003,"Bad","Other",0.537,0
7003,"Bad","Self",0.6613,1
7003,"Bad","Other",0.8816,0
7003,"Bad","Other",0.7478,0
7003,"Good","Self",0.6481,1
7003,"Bad","Self",0.6262,1
7003,"Good","Other",0.7586,1
7003,"Good","Other",0.5272,1
7003,"Good","Self",0.5897,1
7003,"Good","Other",0.641,1
7003,"Good","Other",0.6192,1
7003,"Bad","Self",0.6212,1
7003,"Good","Self",0.5594,1
7003,"Good","Other",0.4997,1
7003,"Bad","Other",0.6545,0
7003,"Bad","Self",0.7148,1
7003,"Good","Self",1.0413,1
7003,"Bad","Other",0.5497,1
7003,"Good","Self",0.7278,0
7003,"Bad","Other",0.7321,0
7003,"Bad","Self",0.7765,1
7003,"Bad","Other",0.5808,0
7003,"Good","Self",0.7196,1
7003,"Bad","Other",0.836,1
7003,"Good","Other",0.6642,1
7003,"Good","Self",0.7006,1
7003,"Good","Other",0.5508,1
7003,"Bad","Self",0.8249,0
7003,"Bad","Self",0.6591,1
7003,"Bad","Other",0.6438,1
7003,"Good","Self",0.7339,1
7003,"Bad","Self",0.6261,0
7003,"Good","Other",0.5906,1
7003,"Good","Self",0.5285,1
7003,"Good","Other",0.8048,0
7003,"Bad","Other",0.7094,0
7003,"Good","Other",0.6715,1
7003,"Bad","Self",0.6199,0
7003,"Good","Other",0.5421,1
7003,"Bad","Self",0.8002,1
7003,"Good","Self",0.5943,1
7003,"Good","Self",0.5746,1
7003,"Bad","Self",0.6809,0
7003,"Bad","Other",0.683,1
7003,"Bad","Other",0.7913,1
7003,"Good","Self",0.6763,1
7003,"Good","Other",0.5606,1
7003,"Bad","Self",0.6551,1
7003,"Good","Self",0.6274,1
7003,"Bad","Self",0.6615,1
7003,"Good","Self",0.69,1
7003,"Bad","Other",0.7342,0
7003,"Good","Other",0.6484,1
7003,"Bad","Self",0.7545,1
7003,"Bad","Other",0.6127,0
7003,"Good","Other",0.5872,1
7003,"Bad","Other",0.7974,1
7003,"Bad","Other",1.002,0
7003,"Good","Other",0.7206,1
7003,"Bad","Self",0.8747,0
7003,"Bad","Self",0.687,1
7003,"Good","Self",0.5895,1
7003,"Bad","Other",0.7421,1
7003,"Bad","Self",0.6083,0
7003,"Good","Self",0.7225,1
7003,"Bad","Other",0.6207,0
7003,"Good","Self",0.585,1
7003,"Good","Other",0.6271,1
7003,"Good","Other",0.5398,1
7003,"Good","Self",0.8539,0
7003,"Bad","Other",0.8562,0
7003,"Good","Self",0.8744,0
7003,"Good","Other",0.5244,1
7003,"Good","Self",0.8691,1
7003,"Bad","Other",0.7992,1
7003,"Bad","Self",0.7635,1
7003,"Bad","Other",0.914,0
7003,"Bad","Self",0.8762,1
7003,"Good","Other",0.6063,1
7003,"Good","Other",0.6289,1
7003,"Bad","Self",0.8391,1
7003,"Good","Other",0.6119,1
7003,"Good","Self",0.6722,0
7003,"Bad","Self",0.8264,0
7003,"Bad","Self",0.7106,1
7003,"Bad","Other",0.9528,1
7003,"Bad","Other",0.8596,0
7003,"Good","Other",0.6379,1
