"Subject","Age","Sex","Morality","Identity","dprime","Cond"
7304,25,"female","Bad","Other",0.686677464942068,"Bad_Other"
7304,25,"female","Bad","Self",1.42446274084413,"Bad_Self"
7304,25,"female","Good","Other",1.02648826119236,"Good_Other"
7304,25,"female","Good","Self",2.76003555952322,"Good_Self"
7305,18,"male","Bad","Other",2.74514395446192,"Bad_Other"
7305,18,"male","Bad","Self",1.4997789717236,"Bad_Self"
7305,18,"male","Good","Other",2.16512288913838,"Good_Other"
7305,18,"male","Good","Self",2.02799728351972,"Good_Self"
7306,21,"male","Bad","Other",2.48890357354283,"Bad_Other"
7306,21,"male","Bad","Self",2.16512288913838,"Bad_Self"
7306,21,"male","Good","Other",3.21082066243415,"Good_Other"
7306,21,"male","Good","Self",1.96989539999828,"Good_Self"
7307,22,"female","Bad","Other",1.61738360641984,"Bad_Other"
7307,22,"female","Bad","Self",2.39133283331441,"Bad_Self"
7307,22,"female","Good","Other",1.78269576392589,"Good_Other"
7307,22,"female","Good","Self",2.16160889052001,"Good_Self"
7308,20,"female","Bad","Other",2.99513785802358,"Bad_Other"
7308,20,"female","Bad","Self",1.42518518250521,"Bad_Self"
7308,20,"female","Good","Other",1.96989539999828,"Good_Other"
7308,20,"female","Good","Self",2.78834518671839,"Good_Self"
7309,26,"male","Bad","Other",1.75713983672332,"Bad_Other"
7309,26,"male","Bad","Self",0.801820173098776,"Bad_Self"
7309,26,"male","Good","Other",0.925281228667647,"Good_Other"
7309,26,"male","Good","Self",2.00640703455788,"Good_Self"
7310,21,"female","Bad","Other",3.46081456599581,"Bad_Other"
7310,21,"female","Bad","Self",3.07119047511945,"Bad_Self"
7310,21,"female","Good","Other",3.25177201729619,"Good_Other"
7310,21,"female","Good","Self",2.86145768788896,"Good_Self"
7311,20,"female","Bad","Other",1.35794568638489,"Bad_Other"
7311,20,"female","Bad","Self",2.86145768788896,"Bad_Self"
7311,20,"female","Good","Other",2.24669279388255,"Good_Other"
7311,20,"female","Good","Self",1.10099085734796,"Good_Self"
7312,21,"female","Bad","Other",1.24687845036557,"Bad_Other"
7312,21,"female","Bad","Self",2.4194385788375,"Bad_Self"
7312,21,"female","Good","Other",1.53813066350857,"Good_Other"
7312,21,"female","Good","Self",2.92666997500801,"Good_Self"
7313,20,"female","Bad","Other",1.32699294032412,"Bad_Other"
7313,20,"female","Bad","Self",0.125279759794909,"Bad_Self"
7313,20,"female","Good","Other",1.0493635566673,"Good_Other"
7313,20,"female","Good","Self",0.919327558579834,"Good_Self"
7314,19,"female","Bad","Other",2.02680696670737,"Bad_Other"
7314,19,"female","Bad","Self",2.0393603947036,"Bad_Self"
7314,19,"female","Good","Other",2.90615750635366,"Good_Other"
7314,19,"female","Good","Self",2.0393603947036,"Good_Self"
7315,20,"female","Bad","Other",1.58591952213123,"Bad_Other"
7315,20,"female","Bad","Self",2.22154323327357,"Bad_Self"
7315,20,"female","Good","Other",1.93553241356273,"Good_Other"
7315,20,"female","Good","Self",2.82245897906864,"Good_Self"
7316,21,"female","Bad","Other",2.02799728351972,"Bad_Other"
7316,21,"female","Bad","Self",1.89542147814485,"Bad_Self"
7316,21,"female","Good","Other",1.90848872986577,"Good_Other"
7316,21,"female","Good","Self",3.53686718309168,"Good_Self"
7317,24,"female","Bad","Other",2.55443292500528,"Bad_Other"
7317,24,"female","Bad","Self",0.883015608921915,"Bad_Self"
7317,24,"female","Good","Other",0.304729145562389,"Good_Other"
7317,24,"female","Good","Self",1.49802452404792,"Good_Self"
7318,25,"female","Bad","Other",2.15703117495112,"Bad_Other"
7318,25,"female","Bad","Self",1.46215668232426,"Bad_Self"
7318,25,"female","Good","Other",1.90568022456897,"Good_Other"
7318,25,"female","Good","Self",2.22154323327357,"Good_Self"
7319,19,"male","Bad","Other",2.16212563744019,"Bad_Other"
7319,19,"male","Bad","Self",1.93639612663413,"Bad_Self"
7319,19,"male","Good","Other",2.74514395446192,"Good_Other"
7319,19,"male","Good","Self",3.68289816305043,"Good_Self"
7320,19,"male","Bad","Other",2.22582406594932,"Bad_Other"
7320,19,"male","Bad","Self",1.68324246714583,"Bad_Self"
7320,19,"male","Good","Other",1.33885478644687,"Good_Other"
