"subj_idx","match","val","id","rt","response"
7304,"match","Good","Other",0.8167,1
7304,"match","Bad","Other",0.8728,0
7304,"match","Good","Self",0.4951,1
7304,"match","Bad","Other",0.8713,0
7304,"match","Good","Self",0.5954,1
7304,"match","Bad","Other",0.6875,1
7304,"match","Bad","Self",0.7439,0
7304,"match","Bad","Self",0.8926,0
7304,"match","Good","Other",0.8527,0
7304,"match","Bad","Self",0.407,0
7304,"match","Good","Self",0.3611,1
7304,"match","Good","Other",0.9631,1
7304,"match","Bad","Other",0.7173,0
7304,"match","Bad","Self",0.7979,1
7304,"match","Good","Self",0.6882,1
7304,"match","Good","Other",0.6884,0
7304,"match","Bad","Other",0.8164,1
7304,"match","Good","Other",0.6148,1
7304,"match","Bad","Self",0.6229,1
7304,"match","Bad","Other",0.6112,0
7304,"match","Good","Self",0.5754,1
7304,"match","Bad","Self",0.6337,1
7304,"match","Good","Self",0.7498,1
7304,"match","Good","Other",0.6819,1
7304,"match","Bad","Other",0.6201,0
7304,"match","Bad","Self",0.7542,1
7304,"match","Good","Other",0.6825,1
7304,"match","Bad","Self",0.6188,1
7304,"match","Bad","Other",0.9591,1
7304,"match","Good","Other",0.8971,0
7304,"match","Bad","Self",0.7594,1
7304,"match","Good","Self",0.5276,1
7304,"match","Good","Self",0.4998,1
7304,"match","Good","Self",0.5782,1
7304,"match","Bad","Other",0.8526,1
7304,"match","Good","Other",0.6608,0
7304,"match","Bad","Other",0.7318,1
7304,"match","Good","Self",0.5501,1
7304,"match","Bad","Self",0.9543,1
7304,"match","Bad","Other",0.9184,1
7304,"match","Good","Other",0.7604,1
7304,"match","Good","Other",0.8693,1
7304,"match","Good","Self",0.6174,1
7304,"match","Bad","Other",0.8956,1
7304,"match","Bad","Self",0.6877,1
7304,"match","Bad","Self",0.5997,0
7304,"match","Good","Self",0.578,1
7304,"match","Good","Other",0.8884,1
7304,"match","Good","Other",0.7312,0
7304,"match","Good","Self",0.5393,1
7304,"match","Bad","Self",0.7455,0
7304,"match","Good","Other",0.7196,1
7304,"match","Good","Self",0.5279,1
7304,"match","Good","Other",0.96,1
7304,"match","Bad","Self",0.6501,1
7304,"match","Bad","Other",0.6664,1
7304,"match","Bad","Other",0.8048,1
7304,"match","Good","Self",0.6228,1
7304,"match","Bad","Other",0.565,0
7304,"match","Bad","Self",0.6791,0
7304,"match","Good","Other",0.8856,1
7304,"match","Good","Self",0.496,1
7304,"match","Good","Other",0.8721,1
7304,"match","Good","Self",0.5605,1
7304,"match","Good","Other",0.7211,1
7304,"match","Bad","Self",0.7231,1
7304,"match","Bad","Other",0.7774,1
7304,"match","Bad","Other",0.7995,1
7304,"match","Bad","Self",0.6257,1
7304,"match","Good","Self",0.6799,1
7304,"match","Bad","Other",0.874,1
7304,"match","Bad","Self",0.7442,1
7304,"match","Bad","Self",0.7347,1
7304,"match","Good","Other",0.8809,0
7304,"match","Bad","Self",0.811,1
7304,"match","Bad","Other",0.8333,1
7304,"match","Good","Other",0.8155,1
7304,"match","Good","Self",0.6557,1
7304,"match","Good","Self",0.6158,1
7304,"match","Bad","Other",0.8241,1
7304,"match","Bad","Other",0.8508,0
7304,"match","Good","Self",0.6112,1
7304,"match","Good","Other",0.8992,1
7304,"match","Good","Self",0.5295,1
7304,"match","Bad","Other",0.7997,1
7304,"match","Bad","Self",0.6163,1
7304,"match","Good","Self",0.3586,1
7304,"match","Bad","Self",0.6489,1
7304,"match","Good","Other",0.6251,1
7304,"match","Bad","Other",0.5591,0
7304,"match","Bad","Self",0.5533,1
7304,"match","Good","Other",0.5535,1
7304,"match","Good","Self",0.3437,1
7304,"match","Good","Self",0.6184,1
7304,"match","Bad","Other",0.8546,1
7304,"match","Good","Other",0.8307,0
7304,"match","Bad","Other",0.8988,1
7304,"match","Good","Other",0.6729,1
7304,"match","Bad","Self",0.3612,1
7304,"match","Good","Self",0.3876,1
7304,"match","Bad","Other",0.3661,0
7304,"match","Bad","Self",0.8239,0
7304,"match","Bad","Self",0.6541,1
7304,"match","Good","Self",0.4462,1
