"subj_idx","val","id","rt","response"
7304,"Bad","Other",0.7247,0
7304,"Bad","Self",0.8786,1
7304,"Good","Other",0.6849,0
7304,"Bad","Self",0.6951,0
7304,"Good","Self",0.6796,1
7304,"Good","Other",0.8177,0
7304,"Good","Self",0.35,0
7304,"Bad","Other",0.7582,0
7304,"Good","Self",0.7363,1
7304,"Good","Other",0.6848,0
7304,"Bad","Self",0.7514,1
7304,"Good","Other",0.9234,1
7304,"Good","Other",0.5976,1
7304,"Bad","Self",0.7138,1
7304,"Good","Self",0.48,0
7304,"Bad","Other",0.6661,1
7304,"Bad","Self",0.6246,1
7304,"Bad","Other",0.8146,1
7304,"Good","Self",0.597,1
7304,"Bad","Other",0.7612,0
7304,"Good","Self",0.7074,1
7304,"Good","Other",0.9195,1
7304,"Good","Self",0.412,0
7304,"Bad","Other",0.7904,0
7304,"Good","Self",0.5885,1
7304,"Good","Other",0.7607,0
7304,"Bad","Self",0.9849,0
7304,"Bad","Other",0.7855,1
7304,"Good","Other",0.8717,0
7304,"Good","Self",0.8979,1
7304,"Bad","Self",0.8,0
7304,"Bad","Self",0.7762,1
7304,"Bad","Other",0.7924,0
7304,"Good","Other",0.5726,0
7304,"Bad","Self",0.8517,1
7304,"Good","Other",0.7239,1
7304,"Good","Other",0.6986,1
7304,"Good","Self",0.7847,1
7304,"Good","Other",0.5588,0
7304,"Bad","Self",0.7849,1
7304,"Good","Self",0.631,0
7304,"Bad","Self",0.8032,1
7304,"Bad","Other",0.84,1
7304,"Bad","Other",0.6981,0
7304,"Bad","Other",0.7442,1
7304,"Good","Self",0.8383,1
7304,"Good","Other",0.7686,1
7304,"Bad","Other",0.6928,0
7304,"Good","Other",0.845,0
7304,"Bad","Self",0.9511,1
7304,"Good","Self",0.7936,1
7304,"Bad","Self",0.9178,0
7304,"Good","Other",0.6902,1
7304,"Good","Self",0.9445,1
7304,"Bad","Self",0.7826,1
7304,"Good","Self",0.8492,1
7304,"Bad","Other",0.9694,0
7304,"Good","Self",0.6958,1
7304,"Good","Other",0.5759,0
7304,"Good","Self",0.6682,1
7304,"Good","Other",0.6563,0
7304,"Bad","Self",0.6884,0
7304,"Bad","Other",0.7867,0
7304,"Bad","Self",0.7768,1
7304,"Bad","Self",0.7689,1
7304,"Good","Self",0.6896,1
7304,"Good","Other",0.7181,1
7304,"Bad","Other",0.8463,1
7304,"Good","Self",0.8724,1
7304,"Bad","Other",0.8446,1
7304,"Good","Other",0.7668,1
7304,"Bad","Other",0.7392,1
7304,"Bad","Other",0.8374,1
7304,"Bad","Self",0.7119,1
7304,"Good","Other",0.7561,1
7304,"Good","Other",0.7103,1
7304,"Bad","Self",0.7544,0
7304,"Good","Self",0.7186,1
7304,"Good","Self",0.8006,1
7304,"Bad","Self",0.6311,1
7304,"Good","Self",0.5694,0
7304,"Good","Other",0.6576,0
7304,"Bad","Other",0.8738,1
7304,"Good","Self",0.6219,0
7304,"Good","Other",0.4003,0
7304,"Bad","Self",0.5944,0
7304,"Good","Self",0.3286,0
7304,"Good","Other",0.5888,0
7304,"Bad","Other",0.5894,1
7304,"Bad","Self",0.6856,1
7304,"Bad","Self",0.3338,0
7304,"Bad","Other",0.3979,1
7304,"Good","Other",0.7045,1
7304,"Good","Self",0.4673,0
7304,"Bad","Self",0.5037,1
7304,"Bad","Other",0.6138,0
7304,"Good","Self",0.3604,0
7304,"Good","Other",0.2985,0
7304,"Good","Other",0.5847,0
7304,"Good","Self",0.4547,0
7304,"Bad","Self",0.6468,0
7304,"Bad","Self",0.8569,1
7304,"Good","Self",0.5531,0
7304,"Bad","Self",0.3892,1
7304,"Good","Other",0.7354,0
7304,"Good","Self",0.2396,0
7304,"Good","Other",0.1657,0
7304,"Bad","Other",0.7762,0
7304,"Bad","Self",0.8967,0
7304,"Bad","Other",0.391,1
7304,"Bad","Self",0.8172,1
7304,"Good","Other",0.8152,0
7304,"Good","Self",0.7156,1
7304,"Bad","Other",0.7996,0
