"subj_idx","val","id","rt","response"
7304,"Good","Self",0.4236,1
7304,"Bad","Other",0.5631,1
7304,"Bad","Self",0.7198,1
7304,"Good","Other",0.6799,1
7304,"Good","Self",0.356,1
7304,"Bad","Self",0.7722,1
7304,"Good","Other",0.6502,1
7304,"Bad","Self",0.5223,1
7304,"Good","Self",0.3805,1
7304,"Bad","Self",0.3726,0
7304,"Good","Self",0.3727,1
7304,"Bad","Self",0.4308,1
7304,"Good","Other",0.3129,0
7304,"Bad","Other",0.5648,1
7304,"Good","Other",0.829,1
7304,"Good","Other",0.4871,1
7304,"Bad","Other",0.4573,1
7304,"Good","Self",0.4353,1
7304,"Bad","Other",0.4753,1
7304,"Bad","Self",0.4835,0
7304,"Bad","Other",0.5776,1
7304,"Good","Other",0.6237,1
7304,"Bad","Other",0.5518,1
7304,"Good","Self",0.472,1
7304,"Bad","Other",0.526,1
7304,"Bad","Other",0.4402,1
7304,"Good","Self",0.4182,1
7304,"Good","Self",0.3944,1
7304,"Bad","Self",0.5364,1
7304,"Bad","Other",0.4925,1
7304,"Good","Other",0.6306,1
7304,"Good","Self",0.3887,1
7304,"Bad","Self",0.6927,1
7304,"Bad","Self",0.5129,1
7304,"Bad","Self",0.387,1
7304,"Bad","Other",0.4351,1
7304,"Good","Self",0.4672,1
7304,"Good","Other",0.7713,1
7304,"Bad","Other",0.4974,1
7304,"Good","Other",0.4394,1
7304,"Bad","Self",0.2515,0
7304,"Good","Self",0.3037,1
7304,"Bad","Other",0.5697,1
7304,"Bad","Self",0.5538,1
7304,"Good","Other",0.5859,1
7304,"Good","Self",0.502,1
7304,"Good","Other",0.5741,1
7304,"Good","Other",0.6162,1
7304,"Good","Self",0.3829,1
7304,"Bad","Self",0.3509,1
7304,"Good","Self",0.475,1
7304,"Bad","Other",0.3872,1
7304,"Bad","Other",0.4152,1
7304,"Good","Other",0.6053,1
7304,"Bad","Self",0.4153,1
7304,"Good","Other",0.4414,1
7304,"Good","Self",0.3816,1
7304,"Good","Self",0.4016,1
7304,"Bad","Self",0.5557,1
7304,"Good","Other",0.5178,1
7304,"Good","Other",0.286,1
7304,"Good","Self",0.464,1
7304,"Bad","Other",0.4201,1
7304,"Bad","Other",0.5083,1
7304,"Good","Other",0.4863,1
7304,"Bad","Other",0.3925,1
7304,"Good","Other",0.6485,1
7304,"Bad","Self",0.6065,1
7304,"Bad","Self",0.4247,1
7304,"Good","Self",0.4887,1
7304,"Bad","Self",0.5589,1
7304,"Bad","Other",0.483,1
7304,"Bad","Other",0.3051,1
7304,"Good","Other",0.4651,0
7304,"Bad","Self",0.5713,1
7304,"Good","Other",0.4114,1
7304,"Good","Other",0.3955,1
7304,"Bad","Self",0.5096,1
7304,"Bad","Other",0.3876,1
7304,"Good","Other",0.5877,1
7304,"Good","Other",0.7158,1
7304,"Good","Self",0.4519,1
7304,"Bad","Self",0.528,1
7304,"Bad","Other",0.3861,1
7304,"Good","Self",0.4142,1
7304,"Good","Self",0.3904,1
7304,"Good","Self",0.4505,1
7304,"Bad","Other",0.5245,1
7304,"Bad","Self",0.6327,1
7304,"Bad","Other",0.4087,1
7304,"Bad","Self",0.5828,1
7304,"Good","Self",0.4489,1
7304,"Good","Other",0.5191,1
7304,"Good","Self",0.483,1
7304,"Bad","Self",0.5772,1
7304,"Bad","Other",0.5033,1
7304,"Good","Self",0.4039,1
7304,"Bad","Other",0.384,1
7304,"Good","Other",0.712,1
7304,"Bad","Self",0.4202,1
7304,"Bad","Other",0.4582,1
7304,"Good","Other",0.5344,1
7304,"Bad","Self",0.5725,1
7304,"Good","Other",0.5606,1
7304,"Good","Other",0.5207,1
7304,"Good","Self",0.4067,1
7304,"Good","Other",0.5028,1
7304,"Bad","Self",0.5169,1
7304,"Bad","Other",0.413,1
7304,"Good","Self",0.3832,1
7304,"Bad","Other",0.3193,1
7304,"Bad","Self",0.6373,1
7304,"Bad","Other",0.5195,1
7304,"Good","Other",0.5955,1
7304,"Good","Self",0.4277,1
7304,"Bad","Self",0.6057,1
7304,"Good","Self",0.4518,1
7304,"Good","Self",0.3939,1
7304,"Bad","Self",0.538,1
7304,"Bad","Other",0.3742,1
7304,"Bad","Other",0.7375,1
7304,"Good","Self",0.6536,1
7304,"Bad","Other",0.5777,1
7304,"Good","Self",0.3419,1
7304,"Bad","Other",0.324,1
7304,"Good","Self",0.256,1
7304,"Bad","Self",0.4761,0
7304,"Good","Other",0.8581,1
7304,"Good","Other",0.6142,1
7304,"Good","Other",0.5164,1
7304,"Bad","Self",0.4425,1
7304,"Good","Other",0.7245,1
7304,"Good","Other",0.5607,1
7304,"Bad","Self",0.7088,1
7304,"Bad","Other",0.489,1
7304,"Good","Other",0.639,1
7304,"Bad","Self",0.5971,1
7304,"Good","Self",0.3955,1
7304,"Bad","Other",0.5113,1
7304,"Bad","Self",0.7914,1
7304,"Good","Self",0.4195,1
7304,"Good","Self",0.4615,1
7304,"Bad","Self",0.6217,1
7304,"Bad","Other",0.5517,1
7304,"Good","Self",0.5119,1
7304,"Bad","Self",0.5939,1
7304,"Bad","Other",0.648,1
7304,"Bad","Self",0.7502,1
7304,"Bad","Other",0.5183,1
7304,"Bad","Self",0.6824,1
7304,"Good","Other",0.5884,1
7304,"Good","Self",0.4286,1
7304,"Good","Self",0.4706,1
7304,"Good","Other",0.4567,1
7304,"Bad","Other",0.7468,1
7304,"Good","Self",0.393,1
7304,"Bad","Other",0.529,1
7304,"Good","Self",0.4511,1
7304,"Bad","Other",0.5173,1
7304,"Good","Self",0.3974,1
7304,"Bad","Other",0.4754,1
7304,"Bad","Self",0.6675,1
7304,"Bad","Self",0.5636,1
7304,"Good","Other",0.5937,1
7304,"Good","Other",0.5239,1
7304,"Good","Other",0.4279,1
7304,"Bad","Self",0.4881,1
7304,"Good","Other",0.4922,1
7304,"Bad","Other",0.4886,1
7304,"Bad","Self",0.5327,1
7304,"Good","Self",0.4228,1
7304,"Good","Other",0.4969,1
7304,"Good","Self",0.337,1
7304,"Bad","Other",0.3571,1
7304,"Good","Self",0.3415,1
7304,"Good","Other",0.5553,1
7304,"Good","Other",0.4094,1
7304,"Good","Other",0.4556,1
7304,"Bad","Self",0.4056,1
7304,"Bad","Other",0.4477,1
7304,"Bad","Self",0.5117,1
7304,"Bad","Other",0.4879,1
7304,"Bad","Self",0.4199,1
7304,"Bad","Self",0.54,1
7304,"Bad","Other",0.4001,1
7304,"Bad","Other",0.3683,1
7304,"Bad","Self",0.3622,1
7304,"Good","Self",0.4283,1
7304,"Good","Other",0.8964,1
7304,"Good","Self",0.5065,1
7304,"Good","Self",0.3726,1
7304,"Good","Other",0.5187,1
7304,"Bad","Other",0.5306,1
7304,"Good","Other",0.6069,0
7304,"Good","Other",0.547,1
7304,"Bad","Other",0.5391,1
7304,"Good","Self",0.2932,1
7304,"Bad","Other",0.3873,1
7304,"Bad","Other",0.4674,1
7304,"Good","Self",0.4276,1
7304,"Good","Self",0.3617,1
7304,"Bad","Self",0.4197,0
7304,"Bad","Other",0.4839,1
7304,"Good","Other",0.44,0
7304,"Bad","Self",0.522,1
7304,"Bad","Self",0.4922,1
7304,"Good","Self",0.4422,1
7304,"Bad","Self",0.5943,1
7304,"Good","Self",0.3803,1
7304,"Good","Other",0.5805,1
7304,"Bad","Self",0.5086,1
7304,"Good","Self",0.4207,1
7304,"Good","Other",0.5489,1
7304,"Good","Other",0.5351,1
7304,"Bad","Self",0.4571,1
7304,"Bad","Other",0.4614,1
7304,"Good","Self",0.4295,1
7304,"Bad","Self",0.6076,1
7304,"Bad","Other",0.5877,1
7304,"Good","Other",0.5958,1
7304,"Bad","Self",0.4179,1
7304,"Bad","Other",0.422,1
7304,"Good","Self",0.4321,1
7304,"Bad","Other",0.3822,1
7304,"Good","Other",0.5803,1
7304,"Bad","Self",0.3924,1
7304,"Good","Other",0.4485,1
7304,"Bad","Other",0.3926,1
7304,"Good","Other",0.5866,1
7304,"Good","Other",0.4848,1
7304,"Bad","Self",0.8627,1
7304,"Bad","Self",0.465,1
7304,"Good","Other",0.5291,1
7304,"Good","Self",0.4491,1
7304,"Good","Self",0.4972,1
7304,"Bad","Self",0.6252,1
7304,"Good","Self",0.4994,1
7304,"Good","Self",0.4295,1
7304,"Bad","Other",0.4657,1
7304,"Bad","Self",0.9093,1
7304,"Bad","Self",0.4035,1
7304,"Bad","Self",0.3596,1
7304,"Good","Other",0.4316,0
7304,"Good","Self",0.4677,1
7304,"Good","Self",0.7099,1
7304,"Bad","Self",0.7879,1
7304,"Good","Other",0.7501,1
7304,"Good","Self",0.4922,1
7304,"Good","Other",0.8282,1
7304,"Bad","Other",0.8124,1
7304,"Good","Other",0.9365,1
7304,"Good","Self",0.4587,1
7304,"Good","Self",0.4848,1
7304,"Bad","Self",0.7488,1
7304,"Bad","Self",0.4789,1
7304,"Good","Self",0.389,1
7304,"Good","Other",0.7251,1
7304,"Bad","Other",0.7732,1
7304,"Bad","Other",0.5014,1
7304,"Bad","Other",0.4454,1
7304,"Bad","Other",0.4375,1
7304,"Bad","Other",0.3736,1
7304,"Good","Self",0.5257,1
7304,"Bad","Other",0.4998,1
7304,"Good","Other",0.6539,1
7304,"Bad","Self",0.7581,1
7304,"Bad","Self",0.3982,1
7304,"Good","Self",0.4842,1
7304,"Bad","Self",0.5803,1
7304,"Good","Self",0.4084,1
7304,"Good","Self",0.3725,1
7304,"Bad","Other",0.5327,1
7304,"Good","Other",0.4727,1
7304,"Good","Other",0.5508,1
7304,"Good","Other",0.3769,1
7304,"Bad","Other",0.437,1
7304,"Good","Other",0.4131,1
7304,"Bad","Self",0.5372,1
7304,"Good","Self",0.4613,1
7304,"Bad","Other",0.4734,1
7304,"Good","Other",0.5035,1
7304,"Bad","Other",0.3356,1
7304,"Bad","Other",0.3076,1
7304,"Bad","Self",0.6977,1
7304,"Bad","Self",0.4559,1
7304,"Good","Self",0.3779,1
7304,"Bad","Self",0.5041,1
7304,"Good","Other",0.4703,1
7304,"Good","Self",0.3364,1
7304,"Good","Other",0.8124,0
7304,"Good","Self",0.4286,1
7304,"Good","Self",0.3527,1
7304,"Bad","Self",0.5868,1
7304,"Bad","Other",0.4228,1
7304,"Bad","Other",0.3169,1
7304,"Bad","Self",0.417,0
7304,"Bad","Self",0.3692,1
7304,"Bad","Other",0.6192,1
7304,"Good","Other",0.3713,0
7304,"Bad","Other",0.3734,1
7304,"Good","Self",0.4676,1
7304,"Good","Other",0.4597,1
7304,"Bad","Self",0.4179,1
7304,"Good","Other",0.5419,1
7304,"Good","Self",0.398,1
7304,"Good","Self",0.4221,1
7304,"Bad","Other",0.4882,1
7304,"Good","Other",0.4623,1
7304,"Bad","Other",0.4104,1
7304,"Good","Other",0.3784,1
7304,"Good","Self",0.4586,1
7304,"Bad","Other",0.3746,1
7304,"Good","Other",0.3907,1
7304,"Good","Self",0.3828,1
7304,"Good","Other",0.5169,1
7304,"Good","Self",0.365,1
7304,"Bad","Other",0.365,1
7304,"Bad","Self",0.6151,1
7304,"Bad","Self",0.5453,1
7304,"Bad","Self",0.4933,1
7304,"Bad","Other",0.4855,1
7304,"Bad","Other",0.3596,1
7304,"Good","Self",0.5377,1
7304,"Bad","Other",0.5377,1
7304,"Good","Other",0.4639,1
7304,"Bad","Self",0.502,0
7304,"Bad","Other",0.562,1
7304,"Good","Self",0.3982,1
7304,"Bad","Self",0.6483,1
7304,"Good","Self",0.3904,1
7304,"Good","Other",0.8645,1
7304,"Bad","Self",0.5626,1
7304,"Good","Other",0.5707,1
7304,"Bad","Self",0.3711,1
7304,"Bad","Other",0.5413,1
7304,"Good","Self",0.4874,1
7304,"Bad","Other",0.5414,1
7304,"Good","Other",0.5776,1
7304,"Good","Self",0.3276,1
7304,"Good","Other",0.4537,1
7304,"Good","Other",0.5938,1
7304,"Good","Self",0.4319,1
7304,"Bad","Other",0.376,1
7304,"Bad","Self",0.5441,1
7304,"Bad","Self",0.4122,1
7304,"Good","Self",0.5043,1
7304,"Bad","Self",0.5364,1
7304,"Good","Other",0.4545,1
7304,"Good","Other",0.4446,1
7304,"Bad","Other",0.4867,0
7304,"Bad","Self",0.5308,1
7304,"Good","Self",0.3989,1
7304,"Bad","Other",0.459,1
7304,"Bad","Self",0.5112,1
7304,"Bad","Other",0.6272,1
7304,"Good","Other",0.8273,1
7304,"Good","Self",0.4254,1
7305,"Bad","Other",1.051,0
7305,"Good","Self",0.6514,1
7305,"Good","Other",0.973,1
7305,"Good","Other",0.9007,1
7305,"Bad","Self",0.9662,1
7305,"Good","Self",0.8378,1
7305,"Good","Self",0.6977,1
7305,"Bad","Other",0.6229,1
7305,"Bad","Self",0.7463,1
7305,"Good","Self",0.5991,1
7305,"Good","Self",0.6392,1
7305,"Bad","Other",0.5387,1
7305,"Good","Other",0.6776,1
7305,"Bad","Other",0.5563,1
7305,"Bad","Self",1.0683,1
7305,"Good","Self",0.5222,1
7305,"Bad","Self",0.8921,1
7305,"Good","Other",0.7763,1
7305,"Bad","Other",1.0253,1
7305,"Good","Self",0.4194,1
7305,"Bad","Self",0.4138,1
7305,"Good","Self",0.3819,1
7305,"Good","Self",0.4036,1
7305,"Bad","Self",0.4318,1
7305,"Good","Self",0.328,1
7305,"Bad","Self",0.3058,1
7305,"Bad","Self",0.2947,1
7305,"Bad","Other",0.5502,1
7305,"Good","Other",0.402,1
7305,"Good","Self",0.2972,1
7305,"Good","Self",0.4644,1
7305,"Bad","Other",0.7853,1
7305,"Good","Other",0.5412,1
7305,"Bad","Self",0.5022,1
7305,"Bad","Other",0.5799,1
7305,"Bad","Other",0.7583,1
7305,"Good","Other",0.6476,1
7305,"Bad","Other",0.5335,1
7305,"Good","Other",0.3541,1
7305,"Bad","Other",0.5875,1
7305,"Good","Other",0.2865,1
7305,"Good","Self",0.8918,1
7305,"Bad","Self",0.3089,1
7305,"Good","Self",0.3931,1
7305,"Good","Other",0.5749,1
7305,"Good","Other",0.5326,1
7305,"Bad","Self",0.8173,1
7305,"Good","Self",0.4335,1
7305,"Good","Self",0.5639,1
7305,"Bad","Self",0.3394,1
7305,"Good","Other",0.6614,1
7305,"Bad","Other",0.2845,1
7305,"Good","Other",0.3824,1
7305,"Good","Other",0.3981,1
7305,"Bad","Self",0.5798,1
7305,"Good","Self",0.2481,1
7305,"Bad","Other",0.5342,1
7305,"Bad","Self",0.6873,1
7305,"Bad","Self",0.7095,1
7305,"Good","Other",0.3176,0
7305,"Bad","Other",0.5803,1
7305,"Bad","Other",0.3224,1
7305,"Good","Self",0.5215,1
7305,"Bad","Other",0.5258,1
7305,"Bad","Other",0.7772,1
7305,"Good","Self",0.2621,1
7305,"Good","Other",0.5125,1
7305,"Bad","Self",0.662,1
7305,"Good","Other",0.5007,1
7305,"Good","Other",0.6717,1
7305,"Good","Self",0.2967,1
7305,"Good","Other",0.5645,1
7305,"Bad","Other",0.7175,1
7305,"Good","Self",0.3285,1
7305,"Bad","Self",0.44,1
7305,"Bad","Other",0.4811,1
7305,"Good","Other",0.5744,1
7305,"Bad","Self",0.4907,1
7305,"Good","Self",0.2682,1
7305,"Bad","Self",0.495,1
7305,"Bad","Other",0.4584,1
7305,"Good","Self",0.3427,1
7305,"Bad","Self",0.507,1
7305,"Bad","Other",0.4041,1
7305,"Bad","Self",0.5275,1
7305,"Good","Self",0.3092,1
7305,"Bad","Other",0.5202,1
7305,"Bad","Other",0.5399,1
7305,"Bad","Other",0.7175,1
7305,"Bad","Self",0.6365,1
7305,"Bad","Self",0.8222,1
7305,"Good","Self",0.5709,1
7305,"Bad","Other",0.5149,1
7305,"Good","Self",0.4774,1
7305,"Bad","Other",0.499,1
7305,"Good","Self",0.4851,1
7305,"Good","Self",0.3603,1
7305,"Bad","Self",0.3469,1
7305,"Bad","Other",0.4147,1
7305,"Good","Other",0.7065,1
7305,"Bad","Other",0.3715,1
7305,"Good","Other",0.5571,1
7305,"Good","Other",0.4291,1
7305,"Bad","Self",0.5878,1
7305,"Good","Other",0.7601,1
7305,"Bad","Self",1.0025,1
7305,"Good","Other",0.7094,1
7305,"Good","Self",0.4873,1
7305,"Bad","Other",0.6512,1
7305,"Good","Self",0.4423,1
7305,"Good","Other",0.2792,0
7305,"Bad","Self",0.635,1
7305,"Bad","Other",0.7944,1
7305,"Good","Self",0.6153,1
7305,"Bad","Self",0.3203,1
7305,"Good","Self",0.4098,1
7305,"Bad","Self",1.0364,1
7305,"Good","Self",0.4401,1
7305,"Bad","Other",0.5465,1
7305,"Good","Other",0.6765,1
7305,"Bad","Other",0.5755,1
7305,"Good","Other",0.2734,1
7305,"Bad","Other",0.5361,1
7305,"Good","Other",0.4128,1
7305,"Good","Self",0.5169,1
7305,"Bad","Other",0.4751,1
7305,"Bad","Self",1.029,1
7305,"Good","Other",0.5595,1
7305,"Bad","Other",0.9911,1
7305,"Good","Other",0.7455,1
7305,"Good","Self",1.0119,0
7305,"Bad","Self",0.5325,1
7305,"Good","Self",0.4282,1
7305,"Bad","Self",0.5186,1
7305,"Good","Other",0.4862,1
7305,"Bad","Self",0.4636,1
7305,"Good","Other",0.7527,1
7305,"Good","Self",0.3458,1
7305,"Bad","Other",0.4667,1
7305,"Good","Self",0.8452,1
7305,"Bad","Other",0.4936,1
7305,"Bad","Other",0.7116,1
7305,"Good","Other",1.0365,1
7305,"Good","Self",0.5329,1
7305,"Bad","Self",0.4709,1
7305,"Good","Self",1.0329,0
7305,"Good","Self",0.5902,1
7305,"Bad","Self",0.4933,1
7305,"Good","Other",0.4826,1
7305,"Bad","Self",0.5298,1
7305,"Bad","Self",0.4798,1
7305,"Bad","Other",0.5661,1
7305,"Good","Other",0.5139,1
7305,"Good","Other",0.634,1
7305,"Bad","Self",0.5137,1
7305,"Good","Other",0.7989,1
7305,"Good","Self",0.5415,1
7305,"Bad","Self",0.6253,1
7305,"Bad","Other",0.666,0
7305,"Bad","Other",0.8529,1
7305,"Good","Self",0.364,1
7305,"Good","Other",0.5566,1
7305,"Bad","Self",0.3308,1
7305,"Bad","Self",0.2452,1
7305,"Bad","Self",0.3488,1
7305,"Bad","Self",0.26,1
7305,"Bad","Other",0.6049,1
7305,"Bad","Other",0.3664,1
7305,"Good","Self",0.4423,1
7305,"Good","Self",0.2397,1
7305,"Good","Self",0.2768,1
7305,"Good","Other",0.5258,1
7305,"Bad","Other",0.3843,1
7305,"Good","Self",0.3118,1
7305,"Good","Other",0.9457,1
7305,"Good","Other",0.482,1
7305,"Good","Other",0.3342,1
7305,"Bad","Other",0.4264,1
7305,"Bad","Other",0.5696,1
7305,"Bad","Other",0.5127,1
7305,"Good","Other",0.414,1
7305,"Good","Self",0.768,1
7305,"Bad","Self",0.704,1
7305,"Good","Other",0.5883,1
7305,"Good","Other",0.5084,1
7305,"Bad","Other",0.5301,1
7305,"Bad","Other",0.3593,1
7305,"Bad","Other",0.2098,1
7305,"Good","Self",0.3322,1
7305,"Bad","Self",0.4593,1
7305,"Good","Self",0.2876,1
7305,"Bad","Self",0.1936,1
7305,"Bad","Other",0.4223,1
7305,"Good","Self",0.7092,1
7305,"Good","Other",0.6137,1
7305,"Good","Other",0.8664,1
7305,"Good","Other",0.5348,1
7305,"Bad","Self",0.7843,1
7305,"Good","Self",0.3208,1
7305,"Bad","Self",0.4075,1
7305,"Good","Self",0.2339,1
7305,"Good","Other",0.5229,1
7305,"Bad","Other",0.6787,1
7305,"Bad","Other",0.6487,1
7305,"Bad","Self",0.5665,1
7305,"Good","Self",0.5416,1
7305,"Good","Other",0.6332,1
7305,"Bad","Other",0.307,1
7305,"Good","Self",0.4779,1
7305,"Bad","Self",0.2214,1
7305,"Bad","Self",0.3373,1
7305,"Good","Other",0.437,1
7305,"Good","Other",0.5294,1
7305,"Bad","Other",0.6604,1
7305,"Bad","Other",0.4638,1
7305,"Good","Self",0.5269,1
7305,"Good","Other",0.6281,1
7305,"Good","Self",0.5679,1
7305,"Bad","Other",0.6113,1
7305,"Good","Self",0.7818,1
7305,"Good","Self",0.3832,1
7305,"Bad","Self",0.4614,1
7305,"Bad","Self",0.4356,1
7305,"Bad","Self",0.4127,1
7305,"Good","Self",0.3116,1
7305,"Bad","Other",0.4758,1
7305,"Bad","Self",1.0559,1
7305,"Bad","Other",1.0664,1
7305,"Good","Other",0.4028,0
7305,"Good","Self",0.7287,1
7305,"Good","Self",0.5373,1
7305,"Good","Self",0.2758,1
7305,"Bad","Other",0.2471,0
7305,"Bad","Self",0.4869,1
7305,"Bad","Other",0.5614,1
7305,"Bad","Other",0.7012,1
7305,"Good","Self",0.5403,1
7305,"Bad","Other",0.5361,1
7305,"Good","Self",1.0552,0
7305,"Good","Other",0.8935,0
7305,"Good","Other",0.6921,1
7305,"Bad","Other",0.5752,1
7305,"Good","Other",0.4209,1
7305,"Bad","Other",0.3847,1
7305,"Good","Self",0.5128,1
7305,"Bad","Self",0.7076,1
7305,"Bad","Self",0.3177,1
7305,"Good","Other",0.602,1
7305,"Bad","Other",0.9018,1
7305,"Bad","Other",0.3589,1
7305,"Good","Other",0.3358,1
7305,"Bad","Other",0.3642,1
7305,"Good","Other",0.4109,1
7305,"Good","Self",0.7183,1
7305,"Bad","Self",0.4745,1
7305,"Bad","Self",0.54,1
7305,"Bad","Self",0.4573,1
7305,"Good","Self",0.3082,1
7305,"Good","Self",0.5393,1
7305,"Bad","Other",0.5572,1
7305,"Good","Other",0.8185,0
7305,"Bad","Self",0.5509,1
7305,"Good","Other",1.0149,1
7305,"Good","Self",0.3303,1
7305,"Bad","Self",0.2814,1
7305,"Bad","Self",0.4072,1
7305,"Good","Self",0.2816,1
7305,"Bad","Other",0.4793,1
7305,"Good","Other",0.8615,1
7305,"Bad","Other",0.6197,1
7305,"Good","Self",0.2955,1
7305,"Good","Other",0.4796,1
7305,"Bad","Self",0.4331,1
7305,"Bad","Self",0.3627,1
7305,"Good","Other",0.437,0
7305,"Good","Self",0.552,1
7305,"Bad","Other",0.8334,1
7305,"Bad","Self",0.4731,1
7305,"Good","Self",0.5201,1
7305,"Good","Other",0.9762,1
7305,"Bad","Other",0.1363,1
7305,"Good","Other",1.0117,1
7305,"Bad","Other",0.6128,1
7305,"Bad","Self",0.8434,1
7305,"Good","Self",0.4939,1
7305,"Good","Self",0.6727,1
7305,"Good","Self",0.4677,1
7305,"Bad","Other",0.5821,0
7305,"Good","Self",0.3388,0
7305,"Bad","Other",0.5921,1
7305,"Bad","Other",0.3649,1
7305,"Good","Other",0.5212,1
7305,"Bad","Self",0.7123,1
7305,"Bad","Self",0.3355,1
7305,"Good","Other",0.5986,1
7305,"Good","Other",0.4598,1
7305,"Good","Other",0.3305,1
7305,"Good","Self",0.5646,1
7305,"Good","Other",0.6276,1
7305,"Good","Self",0.3213,1
7305,"Bad","Other",0.5326,1
7305,"Good","Self",0.6189,1
7305,"Good","Other",0.5875,1
7305,"Bad","Other",0.6157,1
7305,"Good","Other",0.3495,1
7305,"Good","Self",0.4564,1
7305,"Good","Self",0.3641,1
7305,"Bad","Self",0.4372,1
7305,"Good","Self",0.361,1
7305,"Bad","Self",0.4091,1
7305,"Bad","Self",0.2746,1
7305,"Bad","Other",0.2449,0
7305,"Good","Other",0.5904,1
7305,"Bad","Self",0.4436,0
7305,"Bad","Other",0.5092,1
7305,"Bad","Self",0.6485,0
7305,"Bad","Other",0.8214,0
7305,"Good","Other",0.8153,1
7305,"Bad","Other",0.5976,1
7305,"Bad","Self",0.4225,1
7305,"Good","Self",0.4084,1
7305,"Good","Self",0.4303,1
7305,"Good","Other",0.635,1
7305,"Bad","Self",0.6891,1
7305,"Good","Other",0.5015,1
7305,"Good","Self",0.4865,1
7305,"Good","Other",0.5529,1
7305,"Good","Self",0.4579,1
7305,"Bad","Self",0.3936,0
7305,"Bad","Other",0.5132,1
7305,"Bad","Other",0.3815,1
7305,"Good","Other",0.7693,1
7305,"Bad","Other",0.6461,1
7305,"Bad","Other",1.0204,1
7305,"Bad","Self",0.4353,1
7305,"Bad","Other",0.452,1
7305,"Bad","Self",0.6162,1
7305,"Bad","Self",0.3698,1
