"Subject","Task","Morality","Identity","Ntrials","corrTrials","ACC","RT"
7003,"Id","Bad","Other",72,68,0.944444444444444,632.798529411765
7003,"Id","Bad","Self",72,69,0.958333333333333,565.8
7003,"Id","Good","Other",72,69,0.958333333333333,608.572463768116
7003,"Id","Good","Self",72,72,1,596.097222222222
7003,"Val","Bad","Other",72,71,0.986111111111111,598.278873239437
7003,"Val","Bad","Self",72,71,0.986111111111111,589.246478873239
7003,"Val","Good","Other",72,70,0.972222222222222,533.934285714286
7003,"Val","Good","Self",72,68,0.944444444444444,564.388235294118
7004,"Id","Bad","Other",72,69,0.958333333333333,519.872463768116
7004,"Id","Bad","Self",71,57,0.802816901408451,525.673684210526
7004,"Id","Good","Other",72,66,0.916666666666667,552.793939393939
7004,"Id","Good","Self",72,60,0.833333333333333,502.845
7004,"Val","Bad","Other",72,72,1,476.383333333333
7004,"Val","Bad","Self",72,64,0.888888888888889,479.7015625
7004,"Val","Good","Other",72,56,0.777777777777778,551.025
7004,"Val","Good","Self",72,72,1,502.672222222222
7005,"Id","Bad","Other",72,64,0.888888888888889,484.31875
7005,"Id","Bad","Self",72,67,0.930555555555556,535.431343283582
7005,"Id","Good","Other",72,72,1,466.256944444444
7005,"Id","Good","Self",72,72,1,491.343055555556
7005,"Val","Bad","Other",72,67,0.930555555555556,519.14776119403
7005,"Val","Bad","Self",72,71,0.986111111111111,540.540845070423
7005,"Val","Good","Other",72,69,0.958333333333333,499.826086956522
7005,"Val","Good","Self",72,72,1,451.616666666667
7006,"Id","Bad","Other",72,64,0.888888888888889,574.665625
7006,"Id","Bad","Self",72,66,0.916666666666667,541.722727272727
7006,"Id","Good","Other",72,68,0.944444444444444,474.925
7006,"Id","Good","Self",72,63,0.875,547.244444444444
7006,"Val","Bad","Other",72,66,0.916666666666667,474.531818181818
7006,"Val","Bad","Self",72,72,1,432.5625
7006,"Val","Good","Other",72,71,0.986111111111111,449.811267605634
7006,"Val","Good","Self",72,68,0.944444444444444,461.061764705882
7007,"Id","Bad","Other",72,71,0.986111111111111,519.228169014085
7007,"Id","Bad","Self",72,69,0.958333333333333,504.572463768116
7007,"Id","Good","Other",72,70,0.972222222222222,545.004285714286
7007,"Id","Good","Self",72,69,0.958333333333333,500.831884057971
7007,"Val","Bad","Other",72,72,1,508.295833333333
7007,"Val","Bad","Self",72,69,0.958333333333333,591.171014492754
7007,"Val","Good","Other",72,70,0.972222222222222,520.678571428571
7007,"Val","Good","Self",72,70,0.972222222222222,510.508571428571
7008,"Id","Bad","Other",72,53,0.736111111111111,435.096226415094
7008,"Id","Bad","Self",72,56,0.777777777777778,422.128571428571
7008,"Id","Good","Other",72,50,0.694444444444444,456.31
7008,"Id","Good","Self",72,51,0.708333333333333,410.598039215686
7008,"Val","Bad","Other",72,67,0.930555555555556,515.508955223881
7008,"Val","Bad","Self",72,64,0.888888888888889,537.7078125
7008,"Val","Good","Other",72,63,0.875,509.579365079365
7008,"Val","Good","Self",72,64,0.888888888888889,467.48125
7009,"Id","Bad","Other",72,60,0.833333333333333,565.306666666667
7009,"Id","Bad","Self",72,59,0.819444444444444,683.766101694915
7009,"Id","Good","Other",72,57,0.791666666666667,637.368421052632
7009,"Id","Good","Self",72,56,0.777777777777778,611.716071428571
7009,"Val","Bad","Other",72,65,0.902777777777778,541.153846153846
7009,"Val","Bad","Self",72,65,0.902777777777778,596.52
7009,"Val","Good","Other",72,63,0.875,584.060317460317
