"Subject","Morality","Identity","Ntrials","corrTrials","ACC","RT"
7003,"Bad","Other",144,139,0.965277777777778,615.16618705036
7003,"Bad","Self",144,140,0.972222222222222,577.690714285714
7003,"Good","Other",144,139,0.965277777777778,570.984892086331
7003,"Good","Self",144,140,0.972222222222222,580.695714285714
7004,"Bad","Other",144,141,0.979166666666667,497.66524822695
7004,"Bad","Self",143,121,0.846153846153846,501.357851239669
7004,"Good","Other",144,122,0.847222222222222,551.981967213115
7004,"Good","Self",144,132,0.916666666666667,502.750757575758
7005,"Bad","Other",144,131,0.909722222222222,502.132061068702
7005,"Bad","Self",144,138,0.958333333333333,538.060144927536
7005,"Good","Other",144,141,0.979166666666667,482.684397163121
7005,"Good","Self",144,144,1,471.479861111111
7006,"Bad","Other",144,130,0.902777777777778,523.828461538462
7006,"Bad","Self",144,138,0.958333333333333,484.769565217391
7006,"Good","Other",144,139,0.965277777777778,462.097122302158
7006,"Good","Self",144,131,0.909722222222222,502.508396946565
7007,"Bad","Other",144,143,0.993055555555556,513.723776223776
7007,"Bad","Self",144,138,0.958333333333333,547.871739130435
7007,"Good","Other",144,140,0.972222222222222,532.841428571429
7007,"Good","Self",144,139,0.965277777777778,505.705035971223
7008,"Bad","Other",144,120,0.833333333333333,479.993333333333
7008,"Bad","Self",144,120,0.833333333333333,483.770833333333
7008,"Good","Other",144,113,0.784722222222222,486.008849557522
7008,"Good","Self",144,115,0.798611111111111,442.254782608696
7009,"Bad","Other",144,125,0.868055555555556,552.7472
7009,"Bad","Self",144,124,0.861111111111111,638.032258064516
7009,"Good","Other",144,120,0.833333333333333,609.381666666667
7009,"Good","Self",144,126,0.875,573.685714285714
7010,"Bad","Other",144,138,0.958333333333333,454.420289855072
7010,"Bad","Self",144,143,0.993055555555556,432.368531468532
7010,"Good","Other",144,143,0.993055555555556,425.732167832168
7010,"Good","Self",144,140,0.972222222222222,472.936428571429
7011,"Bad","Other",144,136,0.944444444444444,519.783823529412
7011,"Bad","Self",144,134,0.930555555555556,493.885074626866
7011,"Good","Other",144,135,0.9375,545.79037037037
7011,"Good","Self",144,137,0.951388888888889,506.132116788321
7012,"Bad","Other",143,115,0.804195804195804,485.902608695652
7012,"Bad","Self",144,108,0.75,497.186111111111
7012,"Good","Other",144,113,0.784722222222222,518.605309734513
7012,"Good","Self",144,120,0.833333333333333,467.7275
7013,"Bad","Other",144,139,0.965277777777778,525.305755395683
7013,"Bad","Self",144,140,0.972222222222222,537.160714285714
7013,"Good","Other",144,137,0.951388888888889,496.342335766423
7013,"Good","Self",144,143,0.993055555555556,453.246153846154
7014,"Bad","Other",135,17,0.125925925925926,538.729411764706
7014,"Bad","Self",133,82,0.616541353383459,506.040243902439
7014,"Good","Other",131,97,0.740458015267176,470.636082474227
7014,"Good","Self",133,106,0.796992481203007,493.682075471698
7015,"Bad","Other",144,137,0.951388888888889,521.913868613139
7015,"Bad","Self",144,122,0.847222222222222,523.727049180328
7015,"Good","Other",144,130,0.902777777777778,530.893846153846
7015,"Good","Self",144,134,0.930555555555556,510.414179104478
7016,"Bad","Other",144,142,0.986111111111111,525.805633802817
7016,"Bad","Self",144,128,0.888888888888889,584.2171875
7016,"Good","Other",144,126,0.875,640.696825396825
7016,"Good","Self",144,142,0.986111111111111,499.22323943662
7018,"Bad","Other",144,144,1,546.207638888889
7018,"Bad","Self",144,144,1,495.790972222222
7018,"Good","Other",144,144,1,458.879166666667
7018,"Good","Self",144,144,1,505.721527777778
7019,"Bad","Other",144,129,0.895833333333333,571.981395348837
7019,"Bad","Self",144,131,0.909722222222222,587.624427480916
7019,"Good","Other",144,125,0.868055555555556,582.7712
7019,"Good","Self",144,134,0.930555555555556,571.361194029851
7020,"Bad","Other",144,144,1,600.005555555556
7020,"Bad","Self",144,143,0.993055555555556,587.846853146853
7020,"Good","Other",144,138,0.958333333333333,619.713768115942
7020,"Good","Self",144,144,1,596.802083333333
7022,"Bad","Other",144,130,0.902777777777778,663.649230769231
7022,"Bad","Self",144,129,0.895833333333333,623.56976744186
7022,"Good","Other",144,136,0.944444444444444,601.144117647059
7022,"Good","Self",144,133,0.923611111111111,598.152631578947
7023,"Bad","Other",144,136,0.944444444444444,524.027205882353
7023,"Bad","Self",144,117,0.8125,515.306837606838
7023,"Good","Other",144,125,0.868055555555556,513.6176
7023,"Good","Self",144,132,0.916666666666667,508.488636363636
7024,"Bad","Other",121,75,0.619834710743802,437.84
7024,"Bad","Self",125,79,0.632,410.349367088608
7024,"Good","Other",133,74,0.556390977443609,416.345945945946
7024,"Good","Self",121,77,0.636363636363636,381.58961038961
7025,"Bad","Other",144,141,0.979166666666667,498.86524822695
7025,"Bad","Self",144,123,0.854166666666667,538.275609756098
7025,"Good","Other",144,121,0.840277777777778,559.559504132231
7025,"Good","Self",144,141,0.979166666666667,500.528368794326
7026,"Bad","Other",144,123,0.854166666666667,553.884552845528
7026,"Bad","Self",144,126,0.875,525.720634920635
7026,"Good","Other",144,141,0.979166666666667,456.520567375887
7026,"Good","Self",144,120,0.833333333333333,532.17
7028,"Bad","Other",144,139,0.965277777777778,596.735251798561
7028,"Bad","Self",144,132,0.916666666666667,623.731060606061
7028,"Good","Other",144,121,0.840277777777778,662.652066115702
7028,"Good","Self",144,143,0.993055555555556,548.662937062937
7029,"Bad","Other",144,129,0.895833333333333,600.654263565891
7029,"Bad","Self",144,131,0.909722222222222,602.421374045801
7029,"Good","Other",144,116,0.805555555555556,615.980172413793
7029,"Good","Self",144,134,0.930555555555556,547.391791044776
7030,"Bad","Other",144,143,0.993055555555556,502.617482517483
7030,"Bad","Self",144,143,0.993055555555556,501.016783216783
7030,"Good","Other",144,140,0.972222222222222,468.03
7030,"Good","Self",144,139,0.965277777777778,501.43309352518
7031,"Bad","Other",144,135,0.9375,618.244444444444
7031,"Bad","Self",144,121,0.840277777777778,609.540495867769
7031,"Good","Other",144,120,0.833333333333333,683.453333333333
7031,"Good","Self",144,130,0.902777777777778,612.464615384615
7032,"Bad","Other",142,119,0.838028169014085,584.116806722689
7032,"Bad","Self",142,114,0.802816901408451,586.664035087719
7032,"Good","Other",143,113,0.79020979020979,619.910619469027
7032,"Good","Self",144,134,0.930555555555556,464.599253731343
7033,"Bad","Other",144,142,0.986111111111111,456.522535211268
7033,"Bad","Self",144,141,0.979166666666667,519.35390070922
7033,"Good","Other",144,134,0.930555555555556,574.441791044776
7033,"Good","Self",144,139,0.965277777777778,547.143884892086
7034,"Bad","Other",144,137,0.951388888888889,475.15401459854
7034,"Bad","Self",143,121,0.846153846153846,446.081818181818
7034,"Good","Other",144,128,0.888888888888889,426.921875
7034,"Good","Self",144,138,0.958333333333333,477.715942028986
