"Subject","Match","Morality","Identity","Ntrials","corrTrials","ACC","RT"
7003,"match","Bad","Other",60,32,0.533333333333333,788.709375
7003,"match","Bad","Self",60,43,0.716666666666667,723.446511627907
7003,"match","Good","Other",60,54,0.9,660.02037037037
7003,"match","Good","Self",60,46,0.766666666666667,702.8
7003,"nonmatch","Bad","Other",60,42,0.7,793.204761904762
7003,"nonmatch","Bad","Self",60,53,0.883333333333333,718.349056603774
7003,"nonmatch","Good","Other",60,43,0.716666666666667,746.918604651163
7003,"nonmatch","Good","Self",60,39,0.65,789.697435897436
7004,"match","Bad","Other",60,52,0.866666666666667,691.123076923077
7004,"match","Bad","Self",60,51,0.85,738.33137254902
7004,"match","Good","Other",60,56,0.933333333333333,628.191071428571
7004,"match","Good","Self",60,57,0.95,627.756140350877
7004,"nonmatch","Bad","Other",60,51,0.85,718.047058823529
7004,"nonmatch","Bad","Self",60,47,0.783333333333333,773.165957446809
7004,"nonmatch","Good","Other",60,49,0.816666666666667,730.657142857143
7004,"nonmatch","Good","Self",60,39,0.65,721.033333333333
7005,"match","Bad","Other",60,38,0.633333333333333,747.915789473684
7005,"match","Bad","Self",60,46,0.766666666666667,741.278260869565
7005,"match","Good","Other",60,46,0.766666666666667,660.134782608696
7005,"match","Good","Self",60,59,0.983333333333333,601.010169491525
7005,"nonmatch","Bad","Other",60,52,0.866666666666667,745.436538461538
7005,"nonmatch","Bad","Self",60,48,0.8,785.19375
7005,"nonmatch","Good","Other",60,50,0.833333333333333,746.998
7005,"nonmatch","Good","Self",60,41,0.683333333333333,752.173170731707
7006,"match","Bad","Other",60,46,0.766666666666667,709.295652173913
7006,"match","Bad","Self",60,42,0.7,715.309523809524
7006,"match","Good","Other",60,59,0.983333333333333,582.659322033898
7006,"match","Good","Self",60,51,0.85,659.494117647059
7006,"nonmatch","Bad","Other",60,50,0.833333333333333,691.286
7006,"nonmatch","Bad","Self",60,55,0.916666666666667,713
7006,"nonmatch","Good","Other",60,48,0.8,693.602083333333
7006,"nonmatch","Good","Self",60,47,0.783333333333333,702.697872340426
7007,"match","Bad","Other",60,40,0.666666666666667,735.6825
7007,"match","Bad","Self",60,43,0.716666666666667,722.9
7007,"match","Good","Other",60,38,0.633333333333333,797.013157894737
7007,"match","Good","Self",60,38,0.633333333333333,737.18947368421
7007,"nonmatch","Bad","Other",60,40,0.666666666666667,772.3675
7007,"nonmatch","Bad","Self",60,33,0.55,735.533333333333
7007,"nonmatch","Good","Other",60,34,0.566666666666667,739.814705882353
7007,"nonmatch","Good","Self",60,32,0.533333333333333,745.259375
7008,"match","Bad","Other",60,25,0.416666666666667,637.22
7008,"match","Bad","Self",60,30,0.5,651.726666666667
7008,"match","Good","Other",60,46,0.766666666666667,661.352173913044
7008,"match","Good","Self",60,56,0.933333333333333,524.189285714286
7008,"nonmatch","Bad","Other",60,35,0.583333333333333,654.514285714286
7008,"nonmatch","Bad","Self",60,31,0.516666666666667,701.790322580645
7008,"nonmatch","Good","Other",60,33,0.55,721.142424242424
7008,"nonmatch","Good","Self",60,33,0.55,682.754545454545
7009,"match","Bad","Other",60,45,0.75,686.033333333333
7009,"match","Bad","Self",60,18,0.3,694.533333333333
7009,"match","Good","Other",60,47,0.783333333333333,733.648936170213
7009,"match","Good","Self",60,51,0.85,706.53137254902
7009,"nonmatch","Bad","Other",60,28,0.466666666666667,807.539285714286
7009,"nonmatch","Bad","Self",60,32,0.533333333333333,813.64375
7009,"nonmatch","Good","Other",60,28,0.466666666666667,805.589285714286
7009,"nonmatch","Good","Self",60,18,0.3,867.411111111111
7010,"match","Bad","Other",60,59,0.983333333333333,657.113559322034
7010,"match","Bad","Self",60,52,0.866666666666667,720.648076923077
7010,"match","Good","Other",60,58,0.966666666666667,595.506896551724
7010,"match","Good","Self",60,58,0.966666666666667,631.255172413793
7010,"nonmatch","Bad","Other",60,56,0.933333333333333,623.605357142857
7010,"nonmatch","Bad","Self",60,53,0.883333333333333,671.958490566038
7010,"nonmatch","Good","Other",60,59,0.983333333333333,637.318644067797
7010,"nonmatch","Good","Self",60,56,0.933333333333333,669.4875
7011,"match","Bad","Other",60,36,0.6,882.311111111111
7011,"match","Bad","Self",60,53,0.883333333333333,716.964150943396
7011,"match","Good","Other",60,43,0.716666666666667,840.293023255814
7011,"match","Good","Self",60,39,0.65,898.666666666667
7011,"nonmatch","Bad","Other",60,45,0.75,864.024444444444
7011,"nonmatch","Bad","Self",60,53,0.883333333333333,848.239622641509
7011,"nonmatch","Good","Other",60,45,0.75,903.593333333333
7011,"nonmatch","Good","Self",60,41,0.683333333333333,882.456097560976
7012,"match","Bad","Other",60,17,0.283333333333333,725.423529411765
7012,"match","Bad","Self",60,25,0.416666666666667,704.992
7012,"match","Good","Other",60,26,0.433333333333333,719.226923076923
7012,"match","Good","Self",60,57,0.95,555.238596491228
7012,"nonmatch","Bad","Other",60,40,0.666666666666667,681.45
7012,"nonmatch","Bad","Self",60,43,0.716666666666667,675.155813953488
