"Subject","Task","Morality","Identity","Ntrials","corrTrials","ACC","RT"
7304,"Id","Bad","Other",90,88,0.977777777777778,0.475295454545455
7304,"Id","Bad","Self",90,82,0.911111111111111,0.550246341463415
7304,"Id","Good","Other",90,82,0.911111111111111,0.565541463414634
7304,"Id","Good","Self",90,90,1,0.426798888888889
7304,"Val","Bad","Other",90,89,0.988888888888889,0.530137078651685
7304,"Val","Bad","Self",90,80,0.888888888888889,0.5922625
7304,"Val","Good","Other",90,79,0.877777777777778,0.610451898734177
7304,"Val","Good","Self",90,89,0.988888888888889,0.485320224719101
7305,"Id","Bad","Other",89,82,0.921348314606742,0.566359756097561
7305,"Id","Bad","Self",89,78,0.876404494382023,0.536515384615385
7305,"Id","Good","Other",90,76,0.844444444444444,0.594656578947368
7305,"Id","Good","Self",90,86,0.955555555555556,0.467741860465116
7305,"Val","Bad","Other",90,73,0.811111111111111,0.613731506849315
7305,"Val","Bad","Self",90,74,0.822222222222222,0.599416216216216
7305,"Val","Good","Other",90,85,0.944444444444444,0.556196470588235
7305,"Val","Good","Self",90,79,0.877777777777778,0.51066835443038
7306,"Id","Bad","Other",90,82,0.911111111111111,0.531843902439024
7306,"Id","Bad","Self",90,90,1,0.515871111111111
7306,"Id","Good","Other",90,89,0.988888888888889,0.497112359550562
7306,"Id","Good","Self",90,77,0.855555555555556,0.539858441558442
7306,"Val","Bad","Other",90,77,0.855555555555556,0.528175324675325
7306,"Val","Bad","Self",90,88,0.977777777777778,0.534503409090909
7306,"Val","Good","Other",90,86,0.955555555555556,0.497373255813953
7306,"Val","Good","Self",90,82,0.911111111111111,0.543909756097561
7307,"Id","Bad","Other",90,82,0.911111111111111,0.535839024390244
7307,"Id","Bad","Self",90,85,0.944444444444444,0.434469411764706
7307,"Id","Good","Other",90,87,0.966666666666667,0.526826436781609
7307,"Id","Good","Self",90,86,0.955555555555556,0.490974418604651
7307,"Val","Bad","Other",90,82,0.911111111111111,0.459630487804878
7307,"Val","Bad","Self",90,90,1,0.411305555555556
7307,"Val","Good","Other",90,85,0.944444444444444,0.480334117647059
7307,"Val","Good","Self",90,87,0.966666666666667,0.495722988505747
7308,"Id","Bad","Other",90,89,0.988888888888889,0.469431460674157
