"Subject","Morality","Identity","Ntrials","corrTrials","ACC","RT"
7304,"Bad","Other",180,177,0.983333333333333,0.502871186440678
7304,"Bad","Self",180,162,0.9,0.570995061728395
7304,"Good","Other",180,161,0.894444444444444,0.587578260869565
7304,"Good","Self",180,179,0.994444444444444,0.455896089385475
7305,"Bad","Other",179,155,0.865921787709497,0.588670322580645
7305,"Bad","Self",179,152,0.849162011173184,0.567138157894737
7305,"Good","Other",180,161,0.894444444444444,0.574351552795031
7305,"Good","Self",180,165,0.916666666666667,0.488294545454545
7306,"Bad","Other",180,159,0.883333333333333,0.530067295597484
7306,"Bad","Self",180,178,0.988888888888889,0.525082584269663
7306,"Good","Other",180,175,0.972222222222222,0.497240571428571
7306,"Good","Self",180,159,0.883333333333333,0.541947798742138
7307,"Bad","Other",180,164,0.911111111111111,0.497734756097561
7307,"Bad","Self",180,175,0.972222222222222,0.422556571428571
7307,"Good","Other",180,172,0.955555555555556,0.503850581395349
7307,"Good","Self",180,173,0.961111111111111,0.493362427745665
7308,"Bad","Other",180,176,0.977777777777778,0.482353409090909
7308,"Bad","Self",180,173,0.961111111111111,0.519286705202312
7308,"Good","Other",180,162,0.9,0.529654320987654
7308,"Good","Self",180,180,1,0.436357222222222
7309,"Bad","Other",180,164,0.911111111111111,0.487235975609756
7309,"Bad","Self",180,163,0.905555555555556,0.486951533742331
7309,"Good","Other",180,163,0.905555555555556,0.485557668711656
7309,"Good","Self",180,175,0.972222222222222,0.438885142857143
7310,"Bad","Other",180,170,0.944444444444444,0.452544117647059
7310,"Bad","Self",180,175,0.972222222222222,0.428109142857143
7310,"Good","Other",180,178,0.988888888888889,0.388185393258427
7310,"Good","Self",180,176,0.977777777777778,0.410394318181818
7311,"Bad","Other",180,175,0.972222222222222,0.398128571428571
7311,"Bad","Self",180,163,0.905555555555556,0.381931901840491
7311,"Good","Other",180,161,0.894444444444444,0.399999378881988
7311,"Good","Self",180,167,0.927777777777778,0.383615568862275
7312,"Bad","Other",180,175,0.972222222222222,0.581505714285714
7312,"Bad","Self",180,171,0.95,0.561608187134503
7312,"Good","Other",180,172,0.955555555555556,0.594062790697674
7312,"Good","Self",180,177,0.983333333333333,0.53348418079096
7313,"Bad","Other",180,104,0.577777777777778,0.473569230769231
7313,"Bad","Self",180,111,0.616666666666667,0.51398018018018
