"subj_idx","val","id","stim","response","rt"
7304,"Good","Self",1,1,0.4236
7304,"Bad","Other",0,0,0.5631
7304,"Bad","Self",1,1,0.7198
7304,"Good","Other",0,0,0.6799
7304,"Good","Self",1,1,0.356
7304,"Bad","Self",1,1,0.7722
7304,"Good","Other",0,0,0.6502
7304,"Bad","Self",1,1,0.5223
7304,"Good","Self",1,1,0.3805
7304,"Bad","Self",1,0,0.3726
7304,"Good","Self",1,1,0.3727
7304,"Bad","Self",1,1,0.4308
7304,"Good","Other",0,1,0.3129
7304,"Bad","Other",0,0,0.5648
7304,"Good","Other",0,0,0.829
7304,"Good","Other",0,0,0.4871
7304,"Bad","Other",0,0,0.4573
7304,"Good","Self",1,1,0.4353
7304,"Bad","Other",0,0,0.4753
7304,"Bad","Self",1,0,0.4835
7304,"Bad","Other",0,0,0.5776
7304,"Good","Other",0,0,0.6237
7304,"Bad","Other",0,0,0.5518
7304,"Good","Self",1,1,0.472
7304,"Bad","Other",0,0,0.526
7304,"Bad","Other",0,0,0.4402
7304,"Good","Self",1,1,0.4182
7304,"Good","Self",1,1,0.3944
7304,"Bad","Self",1,1,0.5364
7304,"Bad","Other",0,0,0.4925
7304,"Good","Other",0,0,0.6306
7304,"Good","Self",1,1,0.3887
7304,"Bad","Self",1,1,0.6927
7304,"Bad","Self",1,1,0.5129
7304,"Bad","Self",1,1,0.387
7304,"Bad","Other",0,0,0.4351
7304,"Good","Self",1,1,0.4672
7304,"Good","Other",0,0,0.7713
7304,"Bad","Other",0,0,0.4974
7304,"Good","Other",0,0,0.4394
7304,"Bad","Self",1,0,0.2515
7304,"Good","Self",1,1,0.3037
7304,"Bad","Other",0,0,0.5697
7304,"Bad","Self",1,1,0.5538
7304,"Good","Other",0,0,0.5859
7304,"Good","Self",1,1,0.502
7304,"Good","Other",0,0,0.5741
7304,"Good","Other",0,0,0.6162
7304,"Good","Self",1,1,0.3829
7304,"Bad","Self",1,1,0.3509
7304,"Good","Self",1,1,0.475
7304,"Bad","Other",0,0,0.3872
7304,"Bad","Other",0,0,0.4152
7304,"Good","Other",0,0,0.6053
7304,"Bad","Self",1,1,0.4153
7304,"Good","Other",0,0,0.4414
7304,"Good","Self",1,1,0.3816
7304,"Good","Self",1,1,0.4016
7304,"Bad","Self",1,1,0.5557
7304,"Good","Other",0,0,0.5178
7304,"Good","Other",0,0,0.286
7304,"Good","Self",1,1,0.464
7304,"Bad","Other",0,0,0.4201
7304,"Bad","Other",0,0,0.5083
7304,"Good","Other",0,0,0.4863
7304,"Bad","Other",0,0,0.3925
7304,"Good","Other",0,0,0.6485
7304,"Bad","Self",1,1,0.6065
7304,"Bad","Self",1,1,0.4247
7304,"Good","Self",1,1,0.4887
7304,"Bad","Self",1,1,0.5589
7304,"Bad","Other",0,0,0.483
7304,"Bad","Other",0,0,0.3051
7304,"Good","Other",0,1,0.4651
7304,"Bad","Self",1,1,0.5713
7304,"Good","Other",0,0,0.4114
7304,"Good","Other",0,0,0.3955
7304,"Bad","Self",1,1,0.5096
7304,"Bad","Other",0,0,0.3876
7304,"Good","Other",0,0,0.5877
7304,"Good","Other",0,0,0.7158
7304,"Good","Self",1,1,0.4519
7304,"Bad","Self",1,1,0.528
7304,"Bad","Other",0,0,0.3861
7304,"Good","Self",1,1,0.4142
7304,"Good","Self",1,1,0.3904
7304,"Good","Self",1,1,0.4505
7304,"Bad","Other",0,0,0.5245
7304,"Bad","Self",1,1,0.6327
7304,"Bad","Other",0,0,0.4087
7304,"Bad","Self",1,1,0.5828
7304,"Good","Self",1,1,0.4489
7304,"Good","Other",0,0,0.5191
7304,"Good","Self",1,1,0.483
7304,"Bad","Self",1,1,0.5772
7304,"Bad","Other",0,0,0.5033
7304,"Good","Self",1,1,0.4039
7304,"Bad","Other",0,0,0.384
7304,"Good","Other",0,0,0.712
7304,"Bad","Self",1,1,0.4202
7304,"Bad","Other",0,0,0.4582
7304,"Good","Other",0,0,0.5344
