stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.506382405757904,0.5080453157424927,0.45569539070129395,2.76531704912486e-06,0.20766106247901917,True,49.95243835449219,0.003649201476946473
mean_ub,0.48784181475639343,0.44424763321876526,0.1096406802535057,0.0019004528876394033,0.01392153650522232,True,65.08463287353516,0.3976095914840698
std_ub,0.13731367886066437,0.11562570929527283,0.07680247724056244,0.0004703679296653718,0.0063689881935715675,True,66.33931732177734,0.28238630294799805
10q_ub,0.3387799859046936,0.33163270354270935,0.07597421854734421,5.1083847210975364e-05,0.005823166575282812,True,54.19175720214844,0.0940752848982811
30q_ub,0.4081000089645386,0.373330295085907,0.08626680076122284,0.0012089323718100786,0.008650894276797771,True,66.68303680419922,0.4030485153198242
50q_ub,0.4666999876499176,0.41690635681152344,0.1017644852399826,0.0024794070050120354,0.012835416942834854,True,68.67037200927734,0.48930275440216064
70q_ub,0.5346199870109558,0.4762960970401764,0.12778806686401367,0.0034016775898635387,0.019731465727090836,True,67.29680633544922,0.4564111828804016
90q_ub,0.6592000126838684,0.5871155261993408,0.1931876540184021,0.005196171347051859,0.042517632246017456,True,65.9981918334961,0.3731319010257721
mean_lb,-0.5179312229156494,-0.46458521485328674,0.12125998735427856,0.002845796989277005,0.017549775540828705,True,33.66904067993164,0.43993088603019714
std_lb,0.13953067362308502,0.1186363622546196,0.08257037401199341,0.00043657206697389483,0.007254439406096935,True,64.14637756347656,0.25304847955703735
10q_lb,0.36155998706817627,0.34754395484924316,0.07860130816698074,0.0001964495168067515,0.006374614778906107,True,57.917076110839844,0.17831821739673615
30q_lb,0.4387899935245514,0.39220184087753296,0.09160987287759781,0.002170456573367119,0.010562825947999954,True,68.47228240966797,0.5085495710372925
50q_lb,0.5005000233650208,0.4378992021083832,0.11091636121273041,0.003918860107660294,0.0162213034927845,True,70.61360168457031,0.5643964409828186
70q_lb,0.5654000043869019,0.4989326298236847,0.14151903986930847,0.004417911171913147,0.0244455523788929,True,67.7828369140625,0.4696708619594574
90q_lb,0.6998400092124939,0.6116217374801636,0.21437035501003265,0.007782462053000927,0.05373711138963699,True,67.42459869384766,0.41152268648147583
