stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.5132501721382141,0.5111759305000305,0.38240399956703186,4.302440629544435e-06,0.14623713493347168,True,50.84107208251953,0.00542419170960784
mean_ub,0.6819680333137512,0.7091956734657288,0.11146798729896545,0.0007413447019644082,0.013166457414627075,True,41.76462173461914,0.24426425993442535
std_ub,0.14187473058700562,0.21835704147815704,0.10341539978981018,0.005849543027579784,0.016544291749596596,True,23.021953582763672,0.7395640015602112
10q_ub,0.5101000070571899,0.5093202590942383,0.10738382488489151,6.079959007365687e-07,0.011531894095242023,True,47.68559646606445,0.007261251099407673
30q_ub,0.597540020942688,0.5708985924720764,0.10395823419094086,0.0007097646011970937,0.01151707861572504,True,61.64264678955078,0.25627028942108154
50q_ub,0.6703000068664551,0.6461743712425232,0.10924132913351059,0.0005820459919050336,0.0125157181173563,True,62.06638717651367,0.22084708511829376
70q_ub,0.7502599954605103,0.7583499550819397,0.13354863226413727,6.544736970681697e-05,0.01790069043636322,True,51.499244689941406,0.060576848685741425
90q_ub,0.8761000037193298,0.9823945164680481,0.2180681973695755,0.011298524215817451,0.05885227397084236,True,34.01283264160156,0.48743703961372375
mean_lb,-0.7292994260787964,-0.7551241517066956,0.11959266662597656,0.0006669157883152366,0.014969319105148315,True,60.59219741821289,0.21593894064426422
std_lb,0.1353548914194107,0.2218906432390213,0.10974277555942535,0.007488437462598085,0.019531909376382828,True,18.669851303100586,0.7885326147079468
10q_lb,0.569100022315979,0.54572594165802,0.11464636772871017,0.000546346593182534,0.01369013637304306,True,57.34521484375,0.20387962460517883
30q_lb,0.6552000045776367,0.6156668066978455,0.11096089333295822,0.0015628733672201633,0.013875193893909454,True,66.7934341430664,0.3562804162502289
50q_lb,0.7190999984741211,0.6967335939407349,0.11771468818187714,0.0005002561374567449,0.014357006177306175,True,59.728702545166016,0.19000522792339325
70q_lb,0.7918000221252441,0.8116467595100403,0.14360401034355164,0.00039389386074617505,0.021016007289290428,True,44.988670349121094,0.13820476830005646
90q_lb,0.9121999740600586,1.0320919752120972,0.23132199048995972,0.014374085702002048,0.06788396090269089,True,28.221569061279297,0.5182904601097107
