stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.5132501721382141,0.5159266591072083,0.39939582347869873,7.163630925788311e-06,0.15952418744564056,True,50.157737731933594,0.006701361853629351
mean_ub,0.6819680333137512,0.7321255803108215,0.1308465152978897,0.0025157800409942865,0.019636590033769608,True,36.27395248413086,0.38333120942115784
std_ub,0.14187473058700562,0.2693495452404022,0.12837770581245422,0.016249828040599823,0.03273065388202667,True,15.348586082458496,0.992966890335083
10q_ub,0.5101000070571899,0.47857901453971863,0.11948101222515106,0.0009935725247487426,0.015269283205270767,True,59.86626434326172,0.26381585001945496
30q_ub,0.597540020942688,0.5603764057159424,0.11632159352302551,0.0013811327517032623,0.014911855570971966,True,66.9453353881836,0.31949007511138916
50q_ub,0.6703000068664551,0.6581798195838928,0.1302538514137268,0.0001468987757107243,0.017112964764237404,True,58.48571014404297,0.09305045753717422
70q_ub,0.7502599954605103,0.8010755777359009,0.1712377965450287,0.0025822229217737913,0.03190460801124573,True,41.708595275878906,0.2967544496059418
90q_ub,0.8761000037193298,1.0756014585494995,0.27920249104499817,0.03980083018541336,0.11775481700897217,True,24.61543083190918,0.714540421962738
mean_lb,-0.7292994260787964,-0.7842665314674377,0.13982683420181274,0.0030213813297450542,0.022572917863726616,True,67.64883422851562,0.3931083381175995
std_lb,0.1353548914194107,0.27014297246932983,0.1353985071182251,0.018167829141020775,0.03650057315826416,True,14.85062313079834,0.9954916834831238
10q_lb,0.569100022315979,0.5237674117088318,0.14533182978630066,0.002055043587461114,0.02317638508975506,True,70.90372467041016,0.31192469596862793
30q_lb,0.6552000045776367,0.6133860349655151,0.1366322934627533,0.0017484077252447605,0.02041679248213768,True,71.81645965576172,0.30603280663490295
50q_lb,0.7190999984741211,0.7160146236419678,0.1439957618713379,9.51954734773608e-06,0.02074429579079151,True,56.1270866394043,0.0214268546551466
70q_lb,0.7918000221252441,0.8607822060585022,0.17778868973255157,0.004758544731885195,0.03636736795306206,True,34.94512939453125,0.38800108432769775
90q_lb,0.9121999740600586,1.1275427341461182,0.2811656594276428,0.046372491866350174,0.12542660534381866,True,21.157087326049805,0.765892744064331
