,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.19907557845,0.020185521755,1.16038655257,1.18565900071,1.1988281204,1.21229310345,1.2406118266,0.000365128599212
a_std,0.12104653177,0.0164999249106,0.0926912653096,0.109402662122,0.11964475174,0.131020944534,0.156841554641,0.000331161086429
a_subj.7302,1.22565130988,0.0608685322522,1.11029437242,1.18414681686,1.22436972904,1.26497107491,1.34796323099,0.0012812982248
a_subj.7303,1.10032777743,0.0482994218892,1.00951662288,1.06752409922,1.09910596174,1.1314045406,1.2000132857,0.000839992530585
a_subj.7304,1.19622995942,0.0434482532153,1.11263698288,1.16705292076,1.19558292892,1.2249932435,1.28340906494,0.00118905580635
a_subj.7305,1.29267592814,0.0495869446317,1.20021056088,1.25826286317,1.29176418161,1.32514995811,1.39488928142,0.000947133147728
a_subj.7306,1.33922055867,0.057496819911,1.23125698493,1.30067655579,1.33819465715,1.37735002926,1.45771219518,0.00169649717762
a_subj.7307,1.19435842842,0.0468120388175,1.10557784159,1.1623935141,1.19334914288,1.22534803885,1.28861663316,0.00104788700533
a_subj.7308,1.1340477793,0.0426124967494,1.05404449966,1.10441737946,1.13212396561,1.16236059463,1.22162033201,0.000848646610595
a_subj.7309,1.04185457025,0.0362054837924,0.973190663905,1.01755203366,1.04065764503,1.06526434982,1.11515233344,0.000679384099148
a_subj.7310,1.09620534348,0.0466049152498,1.01043662736,1.06391170159,1.09486719172,1.12606778149,1.19365899005,0.000889125212717
a_subj.7311,1.04864769397,0.0408088873906,0.969664421346,1.02150935355,1.04809197158,1.07588986435,1.13147842943,0.000925158459893
a_subj.7312,1.21811407743,0.0461554941916,1.13077180409,1.18628228574,1.21718646018,1.24882446844,1.31290336651,0.000899573582055
a_subj.7313,1.06324033317,0.0323668839442,1.00207132037,1.04123108703,1.06269708422,1.08477370692,1.1276991191,0.000560449713249
a_subj.7314,1.20597415968,0.0450799668678,1.12112180246,1.17440994646,1.20507673602,1.23554644422,1.29950381097,0.00101240310946
a_subj.7315,1.27402202446,0.0549124257145,1.1683918744,1.23646639754,1.27377143627,1.30998873373,1.38350317747,0.00169944521949
a_subj.7316,1.06410528378,0.0351118850112,0.997648610687,1.04021447456,1.06295282207,1.08707387194,1.1343692412,0.000625071499416
a_subj.7317,1.35821062143,0.0534337150535,1.25607091182,1.32138661559,1.35697106019,1.39412189237,1.46498910087,0.00102732643559
a_subj.7318,1.0764252848,0.0384133022541,1.00435382465,1.05045204871,1.07549754118,1.10214818114,1.15381301876,0.000627869365288
a_subj.7319,1.2824389496,0.04621261454,1.19501997156,1.25108872876,1.28091408002,1.31270297491,1.37806393754,0.000916979091246
a_subj.7320,1.15846932593,0.0443103098499,1.07276973632,1.12818805743,1.1578631275,1.18795820887,1.24811054119,0.000889144163152
a_subj.7321,1.12512889471,0.0497040948304,1.02933277038,1.09189988059,1.12463129443,1.15750285176,1.22492062396,0.00135345192854
a_subj.7322,1.09074089358,0.0355049491265,1.02367167347,1.06693432862,1.09008170055,1.11417745316,1.1628482862,0.000610242555607
a_subj.7323,1.14045494687,0.0467540841568,1.05081706431,1.10873099907,1.14025925402,1.17174433052,1.23585006399,0.00106210371652
a_subj.7324,1.14867543537,0.0396009760376,1.07312386158,1.12187482661,1.14734149326,1.17518380478,1.22747750311,0.00076303556361
a_subj.7325,1.0378400816,0.0364140481445,0.968900066474,1.01306160355,1.03736626019,1.06202176675,1.1104144303,0.000724769167804
a_subj.7326,1.16118270265,0.0491801282237,1.06894268735,1.12792194967,1.15985434126,1.19307265529,1.2608031813,0.00133362220413
a_subj.7327,1.53095905911,0.0746315802417,1.39101837839,1.47850065062,1.52978814303,1.5804597544,1.6812932422,0.00232634344401
a_subj.7328,1.3245764991,0.0621828363683,1.208835838,1.2811484153,1.32315367125,1.36690026653,1.44697258787,0.0015867481456
a_subj.7329,1.14041667657,0.0417774380111,1.06259691337,1.11115730603,1.13902925246,1.1686315126,1.22622546578,0.00088188076554
a_subj.7331,1.23123526011,0.0416308880624,1.15243449174,1.20191229552,1.23095231639,1.25898511892,1.31342901389,0.000800357145564
a_subj.7332,1.20090436968,0.041399078104,1.12160171994,1.17270267661,1.20001661504,1.22879513247,1.28289025496,0.000763371460589
a_subj.7333,1.18005867842,0.0415415407328,1.10168330829,1.15047792579,1.1792095007,1.20824696581,1.26334628374,0.000821730609383
a_subj.7334,1.4001928839,0.0553377963549,1.29819316838,1.36161519469,1.39798069134,1.43719105221,1.51391893804,0.00114527429145
a_subj.7335,1.24850270757,0.043096951522,1.16564170687,1.21914625836,1.24751879983,1.27755698714,1.33296755534,0.000892264375326
a_subj.7336,1.05396428114,0.034063856768,0.988830215406,1.03083183165,1.05349471817,1.07634103228,1.12276607765,0.000589377290195
a_subj.7337,1.21248948865,0.0448020376366,1.12964188342,1.18063780234,1.21170471596,1.24185497629,1.30578019396,0.000874319105178
a_subj.7338,1.2830528703,0.0581740770874,1.17656383424,1.24287467856,1.28013030602,1.32128246396,1.40367216806,0.00149870536675
a_subj.7339,1.28073742704,0.0521403957186,1.17958518218,1.24540380549,1.27961906306,1.31492692573,1.38665726532,0.00120653133783
a_subj.7340,1.31763262332,0.0472685596224,1.22821441993,1.28488592627,1.31671691104,1.34822894416,1.41359593888,0.000900866638869
a_subj.7341,1.099904255,0.0395161446947,1.0245087623,1.07291629953,1.09919130896,1.12611383987,1.17838039725,0.000809056401738
a_subj.7342,1.09917701703,0.0381073996113,1.02678286788,1.07309690243,1.09813132888,1.124931818,1.17632128572,0.000801589072008
a_subj.7343,1.20092994758,0.0470554865671,1.11346766501,1.16848173988,1.19920816656,1.23131188719,1.29766250613,0.00115038918226
a_subj.7344,1.19446003584,0.0428071083981,1.11270960428,1.16533478526,1.1932752143,1.22260225798,1.28158551415,0.000803678982205
a_subj.7345,1.37648624514,0.0565007096111,1.26971036455,1.33765652565,1.37477083717,1.41319183899,1.49455563085,0.00111462257598
a_subj.73370,1.26965673349,0.0488544685144,1.17719078658,1.23578451858,1.26804762304,1.30108949276,1.36900030013,0.00133055237522
v(Other.Bad),2.49022003806,0.125718247543,2.24582098008,2.40618442021,2.49007909058,2.5759804572,2.73840842679,0.00211716232881
v(Other.Good),2.18984673463,0.124725454176,1.94660806208,2.10604165048,2.19050269916,2.27246125988,2.43484838533,0.0024517036988
v(Self.Bad),2.07017600451,0.124721742179,1.82320040725,1.98679111446,2.06797296363,2.15428826458,2.3161346195,0.00208810697155
v(Self.Good),2.87999030106,0.126318757337,2.63709270967,2.79461110879,2.87953604531,2.96633918348,3.1286849254,0.00276150589185
v_std,0.749094196403,0.0482285311927,0.658705832678,0.716081743405,0.747347786546,0.779360068383,0.849784446203,0.000872418372236
v_subj(Other.Bad).7302,2.94999225812,0.386176436744,2.20625966355,2.68879724149,2.93938136013,3.20487846872,3.73336157566,0.00614855908263
v_subj(Other.Good).7302,2.74553014352,0.343228714398,2.09078512679,2.5080285349,2.73792563687,2.97690562583,3.42110691192,0.00470179704367
v_subj(Other.Bad).7303,2.2965986673,0.330615172165,1.64385001279,2.0710449479,2.29839692101,2.51444149544,2.95983968736,0.00476715527485
v_subj(Other.Good).7303,2.30537404131,0.330905437558,1.65187180327,2.08133426015,2.30772994487,2.52454874881,2.95109864241,0.00479471206304
v_subj(Other.Bad).7304,1.91201714097,0.262679224304,1.40780486015,1.7321814983,1.90614713979,2.08865717061,2.42744856289,0.00423974768627
v_subj(Other.Good).7304,1.91895542199,0.248885319151,1.43966428486,1.75020744292,1.91517991634,2.08287400136,2.41036524626,0.00375567406333
v_subj(Other.Bad).7305,3.02563305763,0.268034663681,2.51423867208,2.84447685199,3.023804126,3.20551807774,3.55295312279,0.00417839205566
v_subj(Other.Good).7305,2.59868196422,0.26916322925,2.06348105878,2.41609199267,2.59456381923,2.78015396557,3.12357545101,0.00503670836684
v_subj(Other.Bad).7306,2.95058152471,0.283972188996,2.40640272613,2.75847834812,2.94733695462,3.13610746079,3.52203095907,0.00460004187675
v_subj(Other.Good).7306,3.79113313892,0.321046139966,3.16378390511,3.57619758677,3.78712467907,3.99791016774,4.43959719331,0.0058232495783
v_subj(Other.Bad).7307,1.81567583503,0.265955484103,1.31942128048,1.63020803663,1.80932487741,1.99104174036,2.35187053608,0.00421033952435
v_subj(Other.Good).7307,1.84379913361,0.24858100556,1.34676983515,1.67561670308,1.84456160706,2.00749419474,2.33268944007,0.00455759922379
v_subj(Other.Bad).7308,2.7803337985,0.279169276985,2.23636110612,2.58827326869,2.77927270369,2.9702083043,3.32811357155,0.00419530765608
v_subj(Other.Good).7308,2.31779916761,0.284351063888,1.7608876476,2.12551137794,2.31767480616,2.50927126154,2.87510047772,0.00438556526949
v_subj(Other.Bad).7309,2.76392217009,0.294276041325,2.20022546817,2.55903877213,2.75940763894,2.96231982948,3.34477405614,0.00385044351353
v_subj(Other.Good).7309,1.47430474016,0.245155160061,0.994070840732,1.31184960147,1.47456397884,1.63661471986,1.9601466322,0.00477797076295
v_subj(Other.Bad).7310,3.27262511432,0.320051875927,2.64269431053,3.05540974429,3.27406537596,3.4871502362,3.91257649443,0.0049394649342
v_subj(Other.Good).7310,3.56624393768,0.328365914026,2.92285635007,3.34613426418,3.56398586187,3.78017887799,4.20987905339,0.00559720357306
v_subj(Other.Bad).7311,2.85783356996,0.306457880591,2.27442819928,2.64518944768,2.85429697833,3.0617058285,3.47391791351,0.00527168950288
v_subj(Other.Good).7311,3.11382941221,0.329753053831,2.4769097269,2.88979157572,3.11180814824,3.32920862347,3.77970100564,0.00517590889782
v_subj(Other.Bad).7312,2.04727984227,0.257936887735,1.54949251227,1.87204415999,2.04786260469,2.21863259596,2.55736129713,0.00377081264077
v_subj(Other.Good).7312,1.60815372486,0.256064691619,1.09990907984,1.44041865102,1.60569016791,1.77670661582,2.10345042377,0.00401490750929
v_subj(Other.Bad).7313,2.9643679718,0.324249280047,2.33679754971,2.7447039187,2.96016907975,3.18444931651,3.59145170451,0.00503977682824
v_subj(Other.Good).7313,1.21079592073,0.253318596383,0.717287858597,1.03924280464,1.20845873368,1.37939159172,1.71248567226,0.00501669698264
v_subj(Other.Bad).7314,2.34175851793,0.27698530957,1.79377588308,2.15633685536,2.34002436808,2.52833282399,2.87733396572,0.00432977530467
v_subj(Other.Good).7314,2.57805348924,0.277381624455,2.05034680314,2.38849131796,2.5737672486,2.75882961136,3.13492606896,0.00410358652169
v_subj(Other.Bad).7315,1.82887612032,0.242311905123,1.3552207149,1.66401146157,1.82627629002,1.9896893513,2.30752024764,0.00350056374485
v_subj(Other.Good).7315,2.04276979599,0.320718094121,1.48076292044,1.82109474439,2.01191012769,2.23934401837,2.74658975939,0.0116234166246
v_subj(Other.Bad).7316,2.11786237129,0.271403168528,1.59319342538,1.93432711307,2.11605236702,2.29898573581,2.64650525402,0.00413442781073
v_subj(Other.Good).7316,1.96111845253,0.28812954587,1.39758488409,1.76769918531,1.95440472738,2.15367363768,2.53236525388,0.00487673536179
v_subj(Other.Bad).7317,3.06940439603,0.279266238313,2.53538444567,2.87815848561,3.06820381009,3.25873236983,3.62877243669,0.00377497554055
v_subj(Other.Good).7317,0.980312480987,0.223403285014,0.543242425359,0.827959155312,0.981124988835,1.12880290667,1.41710830763,0.00310412464192
v_subj(Other.Bad).7318,1.6748659815,0.255339591799,1.18917162043,1.5005429413,1.67311561655,1.84719611867,2.18571258558,0.00361145213132
v_subj(Other.Good).7318,2.39901015133,0.27939608196,1.85124249786,2.21071010307,2.40076378965,2.5896264987,2.94219495316,0.00399870783084
v_subj(Other.Bad).7319,1.81247526759,0.232614557132,1.35760807393,1.65841413257,1.81127594262,1.96835884932,2.27145911254,0.00453693559364
v_subj(Other.Good).7319,2.76414642892,0.271640668076,2.24513556467,2.58112984745,2.75972270892,2.94629861543,3.31125571262,0.00443713553087
v_subj(Other.Bad).7320,2.80616019741,0.277342105163,2.26888203001,2.62036987509,2.80610350759,2.99240769309,3.35350831859,0.00366383318641
v_subj(Other.Good).7320,2.15765844487,0.269318987992,1.63114293521,1.97391284674,2.15739224973,2.34035459835,2.68449524646,0.00379448546519
v_subj(Other.Bad).7321,3.7096948803,0.335742302526,3.0600848446,3.48531926268,3.70430055392,3.93372304833,4.38180220217,0.00634765125593
v_subj(Other.Good).7321,2.89034279491,0.293896121917,2.32046225467,2.68834008744,2.88952324045,3.08652429119,3.46527646959,0.00510023738949
v_subj(Other.Bad).7322,0.301616385399,0.275704823536,-0.235295585085,0.115291250292,0.301335337324,0.483623153333,0.847613031606,0.00424133133781
v_subj(Other.Good).7322,2.47459781428,0.311693435894,1.87317809558,2.25847646142,2.47222860973,2.67533554401,3.10629047496,0.00436297707288
v_subj(Other.Bad).7323,3.9761120966,0.331999044422,3.32991507481,3.74954290618,3.9750435448,4.20364668801,4.63212249982,0.00603860214392
v_subj(Other.Good).7323,1.8826753168,0.26823878933,1.35606380437,1.70399225066,1.88911489447,2.06346519004,2.40057778711,0.00461768526886
v_subj(Other.Bad).7324,2.188977298,0.274321240162,1.64760428122,2.00304682466,2.18945830732,2.37456054091,2.7338250428,0.0036122952502
v_subj(Other.Good).7324,1.61044302296,0.240082212055,1.15035613737,1.44679941824,1.60893271932,1.77511437236,2.08717802839,0.00367458865957
v_subj(Other.Bad).7325,2.710572071,0.306062297706,2.12687250677,2.50355363724,2.70468888902,2.91505398188,3.33668470891,0.00437368331772
v_subj(Other.Good).7325,1.66278865134,0.255600673834,1.16208078174,1.48936278118,1.66287694229,1.83480240295,2.16360582461,0.00407326994273
v_subj(Other.Bad).7326,2.82632470807,0.292050447157,2.25827154747,2.63086458164,2.82534307893,3.02022420039,3.39622118975,0.00458190951515
v_subj(Other.Good).7326,3.31955377013,0.313960479536,2.71528572348,3.10917753999,3.31522745508,3.52958576076,3.93786264079,0.00522774329194
v_subj(Other.Bad).7327,4.03045393244,0.406432603186,3.35194043718,3.7426480247,3.98647989654,4.27131338246,4.93536954363,0.0157318522876
v_subj(Other.Good).7327,2.14010366293,0.232638165597,1.6970227992,1.97886720746,2.13765797081,2.29874579148,2.59656810664,0.00383041234395
v_subj(Other.Bad).7328,2.01582092258,0.274847435001,1.51234915134,1.82332498033,2.00756598734,2.19885170577,2.57866534921,0.0050744915604
v_subj(Other.Good).7328,2.32686614624,0.264164073378,1.82213447628,2.14588981478,2.32618408489,2.50568438464,2.8585318748,0.00425104988153
v_subj(Other.Bad).7329,2.82614703158,0.293295445595,2.26304596633,2.62813020268,2.8220378397,3.01822833228,3.42408449448,0.00445341919706
v_subj(Other.Good).7329,1.4995619378,0.251938403618,1.00374374334,1.32698207899,1.50002611595,1.66528961425,2.00239226913,0.00450273031917
v_subj(Other.Bad).7331,1.96911939514,0.257516544509,1.47481660298,1.79556466754,1.96258601943,2.1391595482,2.4912372495,0.00434815637454
v_subj(Other.Good).7331,1.82743801549,0.268850975653,1.32521448739,1.64166136762,1.82166837429,2.00191475366,2.37160783375,0.00624688161304
v_subj(Other.Bad).7332,1.88699299548,0.255939519443,1.38384101489,1.71357632746,1.88468833071,2.06368100845,2.39237692696,0.00381682582931
v_subj(Other.Good).7332,0.920745634176,0.222288197161,0.484892971851,0.774731612371,0.919833123258,1.06866920435,1.35734063669,0.00338016073878
v_subj(Other.Bad).7333,2.84088600435,0.311004901693,2.24584576505,2.62861048254,2.83500207837,3.04958672744,3.45850416873,0.00458380745558
v_subj(Other.Good).7333,1.52616676562,0.224560952201,1.09429536369,1.37319115777,1.5248820898,1.67771922953,1.96822720122,0.00337250927597
v_subj(Other.Bad).7334,2.01626187293,0.233223437243,1.55119778054,1.86075996607,2.01724055233,2.17260731154,2.4748585186,0.00360048399694
v_subj(Other.Good).7334,2.85432864005,0.260634133133,2.35478797297,2.67700631908,2.85215294872,3.02408782989,3.37926741198,0.00413923930861
v_subj(Other.Bad).7335,2.58037141956,0.264824807483,2.07239076398,2.40400012345,2.57384962154,2.75469716105,3.11686377534,0.00408252680173
