"subj_idx","crit","moral","id","rt","response"
7003,"identity","moral","other",0.6481,1
7003,"identity","immoral","self",0.7583,1
7003,"identity","immoral","self",0.4764,1
7003,"identity","moral","self",0.5705,1
7003,"identity","immoral","self",0.4607,1
7003,"identity","immoral","self",0.4488,1
7003,"identity","immoral","other",0.6129,1
7003,"identity","immoral","other",0.4071,1
7003,"identity","immoral","self",0.4912,1
7003,"identity","moral","other",0.8454,1
7003,"identity","moral","self",0.5535,1
7003,"identity","moral","self",0.4077,1
7003,"identity","immoral","other",0.5317,1
7003,"identity","immoral","other",0.5918,1
7003,"identity","moral","self",0.5399,1
7003,"identity","moral","other",0.5341,1
7003,"identity","immoral","other",0.6142,1
7003,"identity","moral","other",0.6344,1
7003,"identity","moral","self",0.5224,1
7003,"identity","immoral","self",0.5386,1
7003,"identity","moral","other",0.6767,1
7003,"identity","moral","other",0.3747,1
7003,"identity","immoral","other",0.611,1
7003,"identity","moral","self",0.4811,1
7003,"identity","immoral","self",0.5473,1
7003,"identity","immoral","other",0.6173,1
7003,"identity","moral","self",0.5755,1
7003,"identity","immoral","other",0.6137,1
7003,"identity","moral","other",0.6097,1
7003,"identity","moral","self",0.7518,1
7003,"identity","immoral","self",0.5099,1
7003,"identity","immoral","self",0.8021,1
7003,"identity","moral","self",0.7943,1
7003,"identity","moral","other",0.6964,1
7003,"identity","immoral","other",0.5045,1
7003,"identity","immoral","other",0.5466,1
7003,"identity","moral","other",0.6547,1
7003,"identity","immoral","self",0.6229,0
7003,"identity","moral","self",0.5911,1
7003,"identity","immoral","other",0.5832,1
7003,"identity","immoral","self",0.5133,1
7003,"identity","moral","other",0.7414,1
7003,"identity","immoral","self",0.3856,1
7003,"identity","moral","self",0.5416,1
7003,"identity","moral","other",0.4658,1
7003,"identity","moral","self",0.5399,1
7003,"identity","immoral","other",0.5063,1
7003,"identity","moral","other",0.5463,1
7003,"identity","immoral","other",0.6824,1
7003,"identity","immoral","other",0.6144,1
7003,"identity","moral","self",0.5605,1
7003,"identity","moral","self",0.5348,1
7003,"identity","moral","other",0.6248,1
7003,"identity","immoral","self",0.7451,1
7003,"identity","moral","self",0.5072,1
7003,"identity","moral","other",0.6293,1
7003,"identity","moral","other",0.5975,1
7003,"identity","moral","other",0.5336,1
7003,"identity","immoral","self",0.3556,1
7003,"identity","immoral","other",0.4339,1
7003,"identity","moral","other",0.592,1
7003,"identity","immoral","self",0.3922,1
7003,"identity","immoral","self",0.4443,1
7003,"identity","moral","other",0.5945,1
7003,"identity","immoral","other",0.5306,1
7003,"identity","immoral","other",0.9346,1
7003,"identity","moral","self",0.5368,1
7003,"identity","moral","self",0.3969,1
7003,"identity","immoral","self",0.481,1
7003,"identity","immoral","self",0.4492,1
7003,"identity","moral","self",0.4933,1
7003,"identity","immoral","self",0.5719,1
7003,"identity","moral","other",0.3801,1
7003,"identity","immoral","self",0.5942,1
7003,"identity","immoral","other",0.5903,1
7003,"identity","moral","other",0.5865,1
7003,"identity","immoral","other",0.9367,1
7003,"identity","moral","self",0.4907,1
7003,"identity","moral","self",0.5049,1
7003,"identity","moral","other",0.6051,1
7003,"identity","immoral","other",0.9751,1
7003,"identity","immoral","other",0.7993,1
7003,"identity","moral","other",0.5714,0
7003,"identity","moral","self",0.5415,1
7003,"identity","moral","self",0.5857,1
7003,"identity","moral","other",0.7538,1
7003,"identity","moral","self",0.7499,1
7003,"identity","moral","other",0.718,1
7003,"identity","immoral","self",0.6381,1
7003,"identity","immoral","self",0.6363,1
7003,"identity","immoral","self",0.4185,1
7003,"identity","immoral","self",0.3225,1
7003,"identity","immoral","other",0.5527,1
7003,"identity","immoral","other",0.4388,1
7003,"identity","moral","self",0.5529,1
7003,"identity","moral","self",0.5411,1
7003,"identity","moral","self",0.5732,1
7003,"identity","moral","self",0.5334,1
7003,"identity","immoral","other",0.9174,1
7003,"identity","moral","self",0.5696,1
7003,"identity","immoral","self",0.9197,1
7003,"identity","moral","other",0.824,1
7003,"identity","immoral","self",0.582,1
7003,"identity","moral","self",0.7461,1
7003,"identity","moral","other",0.8322,1
7003,"identity","immoral","self",0.6704,1
7003,"identity","immoral","other",0.7624,1
7003,"identity","moral","self",0.7806,1
7003,"identity","immoral","other",0.6168,1
7003,"identity","immoral","self",0.6949,1
7003,"identity","immoral","other",0.6611,1
7003,"identity","immoral","self",0.6412,1
7003,"identity","moral","other",0.6173,1
7003,"identity","immoral","other",0.6535,1
7003,"identity","moral","other",0.8096,1
7003,"identity","moral","other",0.5638,1
7003,"identity","moral","other",0.534,1
7003,"identity","immoral","other",0.636,1
7003,"identity","moral","other",0.518,1
7003,"identity","immoral","self",0.5941,1
7003,"identity","immoral","other",0.5883,1
7003,"identity","immoral","self",0.6084,1
7003,"identity","moral","other",0.5585,1
7003,"identity","immoral","other",0.5407,1
7003,"identity","moral","other",0.5968,1
7003,"identity","immoral","self",0.447,1
7003,"identity","moral","other",0.577,1
7003,"identity","moral","self",0.6272,1
7003,"identity","moral","other",0.5294,1
7003,"identity","moral","self",0.4914,1
7003,"identity","immoral","other",0.5316,1
7003,"identity","immoral","other",0.5877,1
7003,"identity","immoral","self",0.6538,1
7003,"identity","moral","self",0.64,1
7003,"identity","immoral","other",0.5801,1
7003,"identity","moral","other",0.5902,1
7003,"identity","moral","self",0.6144,1
7003,"identity","immoral","other",0.5525,1
7003,"identity","immoral","self",0.5646,1
7003,"identity","moral","self",0.6468,1
7003,"identity","immoral","self",0.5309,1
7003,"identity","moral","self",0.501,1
7003,"identity","moral","self",0.9466,1
7003,"identity","immoral","other",0.6148,1
7003,"identity","immoral","self",0.5829,1
7003,"identity","immoral","other",0.603,1
7003,"identity","immoral","self",0.7431,1
7003,"identity","moral","self",0.5813,1
7003,"identity","immoral","other",0.6614,1
7003,"identity","immoral","self",0.6495,1
7003,"identity","moral","other",0.6917,0
7003,"identity","moral","other",0.4058,1
7003,"identity","immoral","other",0.588,1
7003,"identity","moral","other",0.4041,1
7003,"identity","moral","self",0.5922,1
7003,"identity","immoral","self",0.5083,1
7003,"identity","moral","self",0.5965,1
7003,"identity","moral","other",0.9246,0
7003,"identity","moral","other",0.4407,1
7003,"identity","moral","self",0.7089,1
7003,"identity","immoral","self",0.631,1
7003,"identity","immoral","self",0.5511,1
7003,"identity","moral","other",0.3392,1
7003,"identity","moral","self",0.5174,1
7003,"identity","immoral","other",0.6775,1
7003,"identity","immoral","other",0.4456,1
7003,"identity","immoral","self",0.5418,1
7003,"identity","immoral","other",0.6359,1
7003,"identity","immoral","self",0.5661,1
7003,"identity","moral","self",0.7441,1
7003,"identity","immoral","other",0.7802,1
7003,"identity","moral","other",0.8584,1
7003,"identity","moral","self",0.6287,1
7003,"identity","immoral","self",0.5368,1
7003,"identity","moral","self",0.5289,1
7003,"identity","immoral","self",0.4971,1
7003,"identity","immoral","other",0.5452,1
7003,"identity","moral","other",0.6294,1
7003,"identity","immoral","self",0.5474,1
7003,"identity","moral","self",0.5396,1
7003,"identity","moral","other",0.6656,1
7003,"identity","moral","self",0.5378,1
7003,"identity","immoral","other",0.8079,1
7003,"identity","moral","other",0.7421,1
7003,"identity","moral","other",0.4862,1
7003,"identity","moral","other",0.3904,1
7003,"identity","immoral","self",0.7645,1
7003,"identity","moral","self",0.5086,1
7003,"identity","immoral","other",0.8127,1
7003,"identity","immoral","self",0.9708,0
7003,"identity","moral","other",0.591,1
7003,"identity","immoral","other",0.5791,1
7003,"identity","moral","other",0.6172,1
7003,"identity","immoral","self",0.5153,1
7003,"identity","immoral","self",0.3636,1
7003,"identity","moral","self",0.4957,1
7003,"identity","moral","other",0.5818,1
7003,"identity","immoral","other",0.7399,1
7003,"identity","immoral","other",0.492,1
7003,"identity","moral","other",0.5941,1
7003,"identity","immoral","self",0.4403,1
7003,"identity","moral","self",0.5484,1
7003,"identity","moral","self",0.5346,1
7003,"identity","moral","other",0.7207,1
7003,"identity","moral","self",0.5628,1
7003,"identity","immoral","self",0.659,1
7003,"identity","moral","self",0.5391,1
7003,"identity","immoral","self",0.5292,1
7003,"identity","immoral","other",0.6873,1
7003,"identity","moral","other",0.8334,1
7003,"identity","immoral","other",0.7136,1
7003,"identity","moral","self",0.5677,1
7003,"identity","immoral","other",0.5378,1
7003,"identity","immoral","self",0.6731,1
7003,"identity","immoral","self",0.4473,1
7003,"identity","immoral","other",0.5615,1
7003,"identity","immoral","self",0.5415,1
7003,"identity","moral","self",0.8177,1
7003,"identity","immoral","other",0.5278,1
7003,"identity","moral","self",0.586,1
7003,"identity","moral","other",0.4842,1
7003,"identity","moral","self",0.6082,1
7003,"identity","immoral","self",0.5944,1
7003,"identity","moral","other",0.6325,1
7003,"identity","immoral","self",0.5746,1
7003,"identity","immoral","self",0.5508,1
7003,"identity","immoral","other",0.7849,1
7003,"identity","moral","self",0.589,1
7003,"identity","moral","other",0.6632,1
7003,"identity","moral","self",0.6973,1
7003,"identity","moral","other",0.9415,1
7003,"identity","moral","other",0.5215,1
7003,"identity","moral","other",0.6577,1
7003,"identity","moral","self",0.5818,1
7003,"identity","immoral","other",0.6599,1
7003,"identity","immoral","other",0.764,1
7003,"identity","immoral","self",0.6422,1
7003,"identity","moral","self",0.5284,1
7003,"identity","moral","self",0.7664,1
7003,"identity","moral","other",0.5946,1
7003,"identity","moral","self",0.8807,1
7003,"identity","immoral","other",0.6549,1
7003,"identity","moral","other",0.623,1
7003,"identity","moral","self",0.8851,1
7003,"identity","immoral","self",0.6172,1
7003,"identity","moral","other",0.7654,1
7003,"identity","immoral","other",0.5315,1
7003,"identity","moral","self",0.5876,1
7003,"identity","moral","self",0.7237,1
7003,"identity","immoral","self",0.6758,1
7003,"identity","moral","other",0.56,1
7003,"identity","immoral","self",0.6782,1
7003,"identity","immoral","other",0.6662,1
7003,"identity","immoral","self",0.6204,1
7003,"identity","immoral","other",0.6945,1
7003,"identity","moral","other",0.5787,1
7003,"identity","moral","other",0.8169,1
7003,"identity","immoral","self",0.713,1
7003,"identity","immoral","other",0.8011,1
7003,"identity","immoral","other",0.5972,1
7003,"identity","immoral","other",0.6134,1
7003,"identity","immoral","other",0.7576,1
7003,"identity","moral","self",0.4397,1
7003,"identity","moral","other",0.5998,1
7003,"identity","moral","other",0.5999,1
7003,"identity","moral","self",0.6921,1
7003,"identity","moral","other",0.5062,1
7003,"identity","immoral","other",0.5323,1
7003,"identity","immoral","other",0.5865,1
7003,"identity","immoral","self",0.6947,1
7003,"identity","moral","other",0.6468,1
7003,"identity","immoral","self",0.7148,1
7003,"identity","immoral","self",0.579,1
7003,"identity","immoral","self",0.4232,1
7003,"identity","immoral","self",0.3713,1
7003,"identity","moral","self",0.6674,1
7003,"identity","moral","self",0.5355,1
7003,"identity","immoral","self",0.4136,1
7003,"identity","moral","other",0.4978,1
7003,"identity","immoral","other",0.5179,1
7003,"identity","moral","other",0.408,1
7003,"identity","moral","self",0.5201,1
7003,"identity","moral","self",0.5442,1
7004,"identity","moral","other",1.0189,1
7004,"identity","moral","other",0.5812,1
7004,"identity","immoral","self",0.5534,1
7004,"identity","moral","other",0.4435,1
7004,"identity","moral","other",0.3936,1
7004,"identity","immoral","other",0.7039,1
7004,"identity","moral","other",0.8661,1
7004,"identity","immoral","other",0.5683,1
7004,"identity","immoral","self",0.4804,1
7004,"identity","immoral","other",0.5066,1
7004,"identity","immoral","self",0.4348,1
7004,"identity","immoral","other",0.4629,1
7004,"identity","moral","self",0.7051,1
7004,"identity","moral","other",0.4712,1
7004,"identity","moral","self",0.6274,1
7004,"identity","moral","self",0.5696,1
7004,"identity","immoral","other",0.4877,1
7004,"identity","moral","self",0.5,1
7004,"identity","immoral","self",0.494,1
7004,"identity","immoral","other",0.3882,1
7004,"identity","immoral","self",0.5904,1
7004,"identity","immoral","self",0.6125,0
7004,"identity","moral","self",0.5286,1
7004,"identity","moral","self",0.4609,1
7004,"identity","immoral","other",0.371,1
7004,"identity","immoral","other",0.5572,1
7004,"identity","immoral","self",0.5493,1
7004,"identity","moral","self",0.6635,1
7004,"identity","immoral","self",0.5396,1
7004,"identity","immoral","self",0.3938,1
7004,"identity","moral","self",0.408,1
7004,"identity","moral","self",0.4462,1
7004,"identity","moral","other",0.6743,0
7004,"identity","immoral","other",0.4985,1
7004,"identity","immoral","self",0.3726,1
7004,"identity","moral","other",0.4909,1
7004,"identity","moral","self",0.4371,1
7004,"identity","immoral","other",0.5653,1
7004,"identity","immoral","other",0.5614,1
7004,"identity","moral","other",0.9195,1
7004,"identity","immoral","self",0.4577,1
7004,"identity","moral","other",0.5818,1
7004,"identity","moral","self",0.4458,1
7004,"identity","moral","other",0.5562,1
7004,"identity","immoral","other",0.7764,1
7004,"identity","moral","other",0.7725,1
7004,"identity","immoral","self",0.3346,1
7004,"identity","immoral","other",0.4491,1
7004,"identity","moral","other",0.8032,1
7004,"identity","moral","self",0.5333,1
7004,"identity","immoral","other",0.4734,1
7004,"identity","immoral","other",0.5857,1
7004,"identity","moral","other",0.5718,1
7004,"identity","moral","self",0.4079,1
7004,"identity","moral","other",0.4501,1
7004,"identity","moral","self",0.5364,1
7004,"identity","moral","self",0.6085,1
7004,"identity","immoral","self",0.3506,0
7004,"identity","immoral","self",0.4828,1
7004,"identity","immoral","other",0.4849,1
7004,"identity","immoral","self",0.5551,1
7004,"identity","moral","self",0.7293,1
7004,"identity","immoral","self",0.7875,1
7004,"identity","immoral","other",0.4396,1
7004,"identity","moral","self",0.4858,1
7004,"identity","moral","other",0.458,1
7004,"identity","moral","other",0.6262,1
7004,"identity","moral","other",0.4663,1
7004,"identity","immoral","other",0.4845,1
7004,"identity","immoral","self",0.6666,0
7004,"identity","moral","self",0.4571,1
7004,"identity","moral","other",0.4413,1
7004,"identity","immoral","self",0.3295,1
7004,"identity","moral","other",0.2637,1
7004,"identity","moral","self",0.5897,1
7004,"identity","immoral","self",0.4579,0
7004,"identity","immoral","self",0.5821,1
7004,"identity","immoral","other",0.7283,0
7004,"identity","immoral","self",0.7144,1
7004,"identity","moral","self",0.6365,1
7004,"identity","moral","self",0.5547,1
7004,"identity","moral","self",0.3208,1
7004,"identity","immoral","other",0.479,1
7004,"identity","immoral","other",0.4352,1
7004,"identity","moral","other",0.5334,1
7004,"identity","immoral","self",0.7815,1
7004,"identity","immoral","other",0.5957,1
7004,"identity","immoral","other",0.4518,1
7004,"identity","moral","other",0.514,1
7004,"identity","moral","other",0.3822,1
7004,"identity","moral","self",0.4743,1
7004,"identity","moral","other",0.4407,1
7004,"identity","immoral","other",0.4629,1
7004,"identity","moral","self",0.4991,1
7004,"identity","moral","self",0.4091,0
7004,"identity","immoral","self",0.4594,1
7004,"identity","immoral","self",0.5195,1
7004,"identity","moral","other",0.5316,1
7004,"identity","moral","other",0.4238,1
7004,"identity","immoral","self",0.716,1
7004,"identity","moral","other",0.7041,1
7004,"identity","moral","other",0.4983,1
7004,"identity","moral","self",0.6945,1
7004,"identity","immoral","other",0.6007,1
7004,"identity","immoral","other",0.4988,1
7004,"identity","immoral","self",0.7889,1
7004,"identity","immoral","other",0.5753,1
7004,"identity","moral","other",0.6875,1
7004,"identity","moral","self",0.4897,1
7004,"identity","moral","self",0.6158,1
7004,"identity","immoral","other",0.428,1
7004,"identity","immoral","self",0.5342,1
7004,"identity","immoral","other",0.4763,1
7004,"identity","moral","other",0.7065,1
7004,"identity","immoral","self",0.4646,1
7004,"identity","moral","self",0.3868,1
7004,"identity","moral","self",0.3509,1
7004,"identity","moral","other",0.3532,1
7004,"identity","immoral","other",0.5313,1
7004,"identity","moral","other",0.5234,1
7004,"identity","immoral","self",0.6755,1
7004,"identity","moral","other",0.7837,1
7004,"identity","immoral","other",0.3478,1
7004,"identity","moral","other",0.4801,1
7004,"identity","immoral","other",0.4722,1
7004,"identity","moral","self",0.5303,0
7004,"identity","moral","self",0.4106,1
7004,"identity","moral","self",0.5586,1
7004,"identity","immoral","other",0.4028,1
7004,"identity","immoral","self",0.487,1
7004,"identity","immoral","self",0.5371,1
